date,geography_code,geography_name,institution_group,institution_type,cohort_level_group,cohort_level,characteristic_group,characteristic,data_type,cohort,overall,education,he,fe,fel3,fel2,fel1,other_edu,appren,appl4,appl3,appl2,all_work,all_notsust,all_unknown
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,2358,87,66,52.2,11.3,NA,NA,NA,2.5,3,0,1.7,1.3,18,9.8,3.2
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Percentage,177,80.8,36.7,29.4,7.3,NA,NA,NA,0,6.8,0,3.4,3.4,37.3,15.3,4
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,89,69,23,21,2,NA,NA,NA,0,8,0,4,4,38,18,2
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,104,84,46,35,11,NA,NA,NA,0,5,0,3,2,33,15,5
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Number of pupils,16,10,4,4,0,NA,NA,NA,0,1,0,1,0,5,6,0
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Number of pupils,177,143,65,52,13,NA,NA,NA,0,12,0,6,6,66,27,7
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,23,18,13,11,2,NA,NA,NA,0,0,0,0,0,5,4,1
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,193,153,69,56,13,NA,NA,NA,0,13,0,7,6,71,33,7
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,170,135,56,45,11,NA,NA,NA,0,13,0,7,6,66,29,6
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,89,77.5,25.8,23.6,2.2,NA,NA,NA,0,9,0,4.5,4.5,42.7,20.2,2.2
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Percentage,16,62.5,25,25,0,NA,NA,NA,0,6.3,0,6.3,0,31.3,37.5,0
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,104,80.8,44.2,33.7,10.6,NA,NA,NA,0,4.8,0,2.9,1.9,31.7,14.4,4.8
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,23,78.3,56.5,47.8,8.7,NA,NA,NA,0,0,0,0,0,21.7,17.4,4.3
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,193,79.3,35.8,29,6.7,NA,NA,NA,0,6.7,0,3.6,3.1,36.8,17.1,3.6
2010/11,E08000033,Calderdale,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,170,79.4,32.9,26.5,6.5,NA,NA,NA,0,7.6,0,4.1,3.5,38.8,17.1,3.5
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,454,410,315,268,22,NA,NA,NA,25,19,0,14,5,76,36,8
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,512,457,346,295,44,NA,NA,NA,7,13,0,4,9,98,38,17
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,81,85.2,67.9,58,7.4,NA,NA,NA,2.5,3.7,0,3.7,0,13.6,14.8,0
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,885,798,606,516,60,NA,NA,NA,30,29,0,15,14,163,62,25
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Number of pupils,896,805,612,534,53,NA,NA,NA,25,30,0,16,14,163,68,23
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,885,90.2,68.5,58.3,6.8,NA,NA,NA,3.4,3.3,0,1.7,1.6,18.4,7,2.8
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Number of pupils,70,62,49,29,13,NA,NA,NA,7,2,0,2,0,11,6,2
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Percentage,512,89.3,67.6,57.6,8.6,NA,NA,NA,1.4,2.5,0,0.8,1.8,19.1,7.4,3.3
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,81,69,55,47,6,NA,NA,NA,2,3,0,3,0,11,12,0
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Percentage,966,89.8,68.4,58.3,6.8,NA,NA,NA,3.3,3.3,0,1.9,1.4,18,7.7,2.6
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Percentage,70,88.6,70,41.4,18.6,NA,NA,NA,10,2.9,0,2.9,0,15.7,8.6,2.9
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,966,867,661,563,66,NA,NA,NA,32,32,0,18,14,174,74,25
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Percentage,454,90.3,69.4,59,4.8,NA,NA,NA,5.5,4.2,0,3.1,1.1,16.7,7.9,1.8
2010/11,E08000033,Calderdale,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Percentage,896,89.8,68.3,59.6,5.9,NA,NA,NA,2.8,3.3,0,1.8,1.6,18.2,7.6,2.6
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,1055,933,662,561,71,NA,NA,NA,30,42,0,22,20,229,91,31
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,543,88.2,62.2,53.2,4.4,NA,NA,NA,4.6,5,0,3.3,1.7,21,9.9,1.8
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,1159,1020,730,619,79,NA,NA,NA,32,45,0,25,20,245,107,32
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,104,87,68,58,8,NA,NA,NA,2,3,0,3,0,16,16,1
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,543,479,338,289,24,NA,NA,NA,25,27,0,18,9,114,54,10
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,616,87.8,63.6,53.6,8.9,NA,NA,NA,1.1,2.9,0,1.1,1.8,21.3,8.6,3.6
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,616,541,392,330,55,NA,NA,NA,7,18,0,7,11,131,53,22
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,1159,88,63,53.4,6.8,NA,NA,NA,2.8,3.9,0,2.2,1.7,21.1,9.2,2.8
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,104,83.7,65.4,55.8,7.7,NA,NA,NA,1.9,2.9,0,2.9,0,15.4,15.4,1
2010/11,E08000033,Calderdale,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,1055,88.4,62.7,53.2,6.7,NA,NA,NA,2.8,4,0,2.1,1.9,21.7,8.6,2.9
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,1322,1137,777,690,76,NA,NA,NA,11,52,0,16,36,308,143,42
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Percentage,263,85.6,57.4,50.2,6.8,NA,NA,NA,0.4,6.1,0,2.7,3.4,22.1,12.2,2.3
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Number of pupils,2093,1792,1237,1101,119,NA,NA,NA,17,97,0,48,49,458,229,72
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Number of pupils,263,225,151,132,18,NA,NA,NA,1,16,0,7,9,58,32,6
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,2356,2017,1388,1233,137,NA,NA,NA,18,113,0,55,58,516,261,78
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,190,146,111,98,13,NA,NA,NA,0,8,0,4,4,27,36,8
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,1322,86,58.8,52.2,5.7,NA,NA,NA,0.8,3.9,0,1.2,2.7,23.3,10.8,3.2
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,1034,880,611,543,61,NA,NA,NA,7,61,0,39,22,208,118,36
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,1034,85.1,59.1,52.5,5.9,NA,NA,NA,0.7,5.9,0,3.8,2.1,20.1,11.4,3.5
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,2166,1871,1277,1135,124,NA,NA,NA,18,105,0,51,54,489,225,70
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,190,76.8,58.4,51.6,6.8,NA,NA,NA,0,4.2,0,2.1,2.1,14.2,18.9,4.2
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,2356,85.6,58.9,52.3,5.8,NA,NA,NA,0.8,4.8,0,2.3,2.5,21.9,11.1,3.3
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Percentage,2093,85.6,59.1,52.6,5.7,NA,NA,NA,0.8,4.6,0,2.3,2.3,21.9,10.9,3.4
2010/11,E08000034,Kirklees,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,2166,86.4,59,52.4,5.7,NA,NA,NA,0.8,4.8,0,2.4,2.5,22.6,10.4,3.2
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,742,648,523,473,42,NA,NA,NA,8,19,0,9,10,106,72,22
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,691,605,486,441,38,NA,NA,NA,7,17,0,7,10,102,67,19
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,427,367,293,259,28,NA,NA,NA,6,8,0,3,5,66,46,14
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,51,43,37,32,4,NA,NA,NA,1,2,0,2,0,4,5,3
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,315,281,230,214,14,NA,NA,NA,2,11,0,6,5,40,26,8
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Percentage,427,85.9,68.6,60.7,6.6,NA,NA,NA,1.4,1.9,0,0.7,1.2,15.5,10.8,3.3
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Number of pupils,690,609,489,445,38,NA,NA,NA,6,18,0,9,9,102,62,19
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Percentage,315,89.2,73,67.9,4.4,NA,NA,NA,0.6,3.5,0,1.9,1.6,12.7,8.3,2.5
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Number of pupils,52,39,34,28,4,NA,NA,NA,2,1,0,0,1,4,10,3
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,51,84.3,72.5,62.7,7.8,NA,NA,NA,2,3.9,0,3.9,0,7.8,9.8,5.9
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,691,87.6,70.3,63.8,5.5,NA,NA,NA,1,2.5,0,1,1.4,14.8,9.7,2.7
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Percentage,742,87.3,70.5,63.7,5.7,NA,NA,NA,1.1,2.6,0,1.2,1.3,14.3,9.7,3
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Percentage,52,75,65.4,53.8,7.7,NA,NA,NA,3.8,1.9,0,0,1.9,7.7,19.2,5.8
2010/11,E08000034,Kirklees,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Percentage,690,88.3,70.9,64.5,5.5,NA,NA,NA,0.9,2.6,0,1.3,1.3,14.8,9,2.8
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,3098,2665,1911,1706,179,NA,NA,NA,26,132,0,64,68,622,333,100
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,1349,1161,841,757,75,NA,NA,NA,9,72,0,45,27,248,144,44
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,3098,86,61.7,55.1,5.8,NA,NA,NA,0.8,4.3,0,2.1,2.2,20.1,10.7,3.2
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,241,189,148,130,17,NA,NA,NA,1,10,0,6,4,31,41,11
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,2857,2476,1763,1576,162,NA,NA,NA,25,122,0,58,64,591,292,89
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,1749,86,61.2,54.3,5.9,NA,NA,NA,1,3.4,0,1.1,2.3,21.4,10.8,3.2
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,1749,1504,1070,949,104,NA,NA,NA,17,60,0,19,41,374,189,56
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,2857,86.7,61.7,55.2,5.7,NA,NA,NA,0.9,4.3,0,2,2.2,20.7,10.2,3.1
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,1349,86.1,62.3,56.1,5.6,NA,NA,NA,0.7,5.3,0,3.3,2,18.4,10.7,3.3
2010/11,E08000034,Kirklees,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,241,78.4,61.4,53.9,7.1,NA,NA,NA,0.4,4.1,0,2.5,1.7,12.9,17,4.6
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Number of pupils,1701,1431,861,654,154,NA,NA,NA,53,117,0,82,35,453,211,59
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,1982,1674,1033,778,179,NA,NA,NA,76,127,0,88,39,514,241,67
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,869,722,424,323,65,NA,NA,NA,36,99,0,84,15,199,119,28
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,1729,1484,915,693,152,NA,NA,NA,70,117,0,83,34,452,186,59
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,1113,952,609,455,114,NA,NA,NA,40,28,0,4,24,315,122,39
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Number of pupils,281,243,172,124,25,NA,NA,NA,23,10,0,6,4,61,30,8
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Percentage,1701,84.1,50.6,38.4,9.1,NA,NA,NA,3.1,6.9,0,4.8,2.1,26.6,12.4,3.5
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,1729,85.8,52.9,40.1,8.8,NA,NA,NA,4,6.8,0,4.8,2,26.1,10.8,3.4
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Percentage,281,86.5,61.2,44.1,8.9,NA,NA,NA,8.2,3.6,0,2.1,1.4,21.7,10.7,2.8
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,1982,84.5,52.1,39.3,9,NA,NA,NA,3.8,6.4,0,4.4,2,25.9,12.2,3.4
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,869,83.1,48.8,37.2,7.5,NA,NA,NA,4.1,11.4,0,9.7,1.7,22.9,13.7,3.2
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,1113,85.5,54.7,40.9,10.2,NA,NA,NA,3.6,2.5,0,0.4,2.2,28.3,11,3.5
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,253,75.1,46.6,33.6,10.7,NA,NA,NA,2.4,4,0,2,2,24.5,21.7,3.2
2010/11,E08000035,Leeds,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,253,190,118,85,27,NA,NA,NA,6,10,0,5,5,62,55,8
