date,geography_code,geography_name,ssa_t1_desc,sex,ethnicity_group,notional_nvq_level,e_and_t_aims_enrolments,e_and_t_aims_ach
2021/22,E08000033,Calderdale,Retail and Commercial Enterprise,Female,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Female,Not Provided,E,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Male,Other Ethnic Group,1,low,low
2021/22,E07000168,Scarborough,Science and Mathematics,Female,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Female,Other Ethnic Group,E,low,low
2021/22,E07000167,Ryedale,Information and Communication Technology,Total,Other Ethnic Group,1,low,low
2021/22,E08000035,Leeds,Information and Communication Technology,Female,White,4+,low,low
2021/22,E07000163,Craven,Not Applicable/ Not Known,Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000168,Scarborough,Engineering and Manufacturing Technologies,Male,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000034,Kirklees,"Languages, Literature and Culture",Male,Not Provided,Not Assigned,low,low
2021/22,E07000167,Ryedale,"Languages, Literature and Culture",Female,Total,Not Assigned,low,low
2021/22,E08000033,Calderdale,Total,Female,Black/African/Caribbean/Black British,1,50,50
2021/22,E07000163,Craven,"Construction, Planning and the Built Environment",Female,Not Provided,4+,low,low
2021/22,E07000166,Richmondshire,Engineering and Manufacturing Technologies,Total,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000169,Selby,"History, Philosophy and Theology",Total,White,Not Assigned,low,low
2021/22,E07000164,Hambleton,"History, Philosophy and Theology",Female,White,Not Assigned,low,low
2021/22,E07000166,Richmondshire,"Construction, Planning and the Built Environment",Female,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000032,Bradford,Total,Female,Black/African/Caribbean/Black British,1,270,200
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Female,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000165,Harrogate,Total,Male,White,4+,10,low
2021/22,E08000035,Leeds,Not Applicable/ Not Known,Female,Not Provided,2,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Total,Black/African/Caribbean/Black British,4+,low,low
2021/22,E07000166,Richmondshire,Retail and Commercial Enterprise,Female,Not Provided,4+,low,low
2021/22,E08000035,Leeds,"Arts, Media and Publishing",Female,White,Total,80,60
2021/22,E07000166,Richmondshire,"Construction, Planning and the Built Environment",Total,White,2,10,low
2021/22,E08000034,Kirklees,"Business, Administration and Law",Female,Total,Total,280,170
2021/22,E07000163,Craven,Information and Communication Technology,Female,Not Provided,4+,low,low
2021/22,E07000167,Ryedale,Retail and Commercial Enterprise,Male,White,4+,low,low
2021/22,E07000165,Harrogate,Total,Male,Other Ethnic Group,4+,low,low
2021/22,E08000035,Leeds,Engineering and Manufacturing Technologies,Total,Black/African/Caribbean/Black British,3,20,20
2021/22,E08000033,Calderdale,Information and Communication Technology,Female,Other Ethnic Group,4+,low,low
2021/22,E07000166,Richmondshire,Total,Female,Not Provided,1,low,low
2021/22,E07000163,Craven,Education and Training,Total,Not Provided,1,low,low
2021/22,E08000036,Wakefield,Not Applicable/ Not Known,Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Total,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000168,Scarborough,Engineering and Manufacturing Technologies,Male,Other Ethnic Group,E,low,low
2021/22,E07000167,Ryedale,Retail and Commercial Enterprise,Male,Other Ethnic Group,4+,low,low
2021/22,E07000165,Harrogate,"Languages, Literature and Culture",Male,Not Provided,3,low,low
2021/22,E07000164,Hambleton,"Business, Administration and Law",Male,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000165,Harrogate,Retail and Commercial Enterprise,Total,Not Provided,Total,low,low
2021/22,E08000033,Calderdale,"Leisure, Travel and Tourism",Total,Total,1,low,low
2021/22,E07000168,Scarborough,"History, Philosophy and Theology",Female,Mixed/ Multiple Ethnic Group,Total,low,low
2021/22,E08000034,Kirklees,"Agriculture, Horticulture and Animal Care",Male,White,2,10,10
2021/22,E08000032,Bradford,"Health, Public Services and Care",Female,White,1,60,50
2021/22,E07000164,Hambleton,"Construction, Planning and the Built Environment",Male,White,E,low,low
2021/22,E07000165,Harrogate,Preparation for Life and Work,Female,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000032,Bradford,"Health, Public Services and Care",Male,Total,Not Assigned,20,20
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Male,White,1,low,low
2021/22,E07000165,Harrogate,Retail and Commercial Enterprise,Female,Asian/ Asian British,Total,low,low
2021/22,E07000167,Ryedale,Social Sciences,Female,Total,Not Assigned,low,low
2021/22,E08000032,Bradford,Information and Communication Technology,Total,Asian/ Asian British,2,140,100
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Female,Other Ethnic Group,3,low,low
2021/22,E08000035,Leeds,Not Applicable/ Not Known,Male,Total,Not Assigned,50,20
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000164,Hambleton,Retail and Commercial Enterprise,Total,Other Ethnic Group,2,low,low
2021/22,E08000036,Wakefield,Science and Mathematics,Male,Total,1,low,low
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Total,Asian/ Asian British,E,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Total,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000167,Ryedale,Education and Training,Total,Asian/ Asian British,2,low,low
2021/22,E07000164,Hambleton,Information and Communication Technology,Male,White,E,low,low
2021/22,E08000033,Calderdale,Information and Communication Technology,Male,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000035,Leeds,Information and Communication Technology,Female,Other Ethnic Group,4+,low,low
2021/22,E08000036,Wakefield,"Leisure, Travel and Tourism",Female,Total,E,low,low
2021/22,E07000168,Scarborough,"Health, Public Services and Care",Total,Other Ethnic Group,2,30,30
2021/22,E07000168,Scarborough,"Languages, Literature and Culture",Female,Other Ethnic Group,Total,low,low
2021/22,E07000168,Scarborough,"Construction, Planning and the Built Environment",Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000166,Richmondshire,Total,Female,Total,Total,660,500
2021/22,E08000032,Bradford,Retail and Commercial Enterprise,Male,White,2,80,60
2021/22,E07000164,Hambleton,Social Sciences,Total,Asian/ Asian British,E,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E08000032,Bradford,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,3,10,low
2021/22,E08000032,Bradford,"Agriculture, Horticulture and Animal Care",Total,Not Provided,1,low,low
2021/22,E08000032,Bradford,Information and Communication Technology,Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000168,Scarborough,Total,Total,Asian/ Asian British,3,10,10
2021/22,E08000034,Kirklees,"Leisure, Travel and Tourism",Male,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Male,Not Provided,4+,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Total,Total,4+,low,low
2021/22,E07000165,Harrogate,Not Applicable/ Not Known,Male,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000163,Craven,Not Applicable/ Not Known,Female,Asian/ Asian British,2,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Female,White,Not Assigned,low,low
2021/22,E07000169,Selby,Preparation for Life and Work,Female,White,2,60,30
2021/22,E07000164,Hambleton,Total,Male,Not Provided,3,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Total,Other Ethnic Group,4+,low,low
2021/22,E08000032,Bradford,Retail and Commercial Enterprise,Total,Black/African/Caribbean/Black British,Total,100,80
2021/22,E07000167,Ryedale,Education and Training,Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000169,Selby,Science and Mathematics,Male,Total,1,low,low
2021/22,E07000165,Harrogate,"History, Philosophy and Theology",Male,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000032,Bradford,Science and Mathematics,Total,Black/African/Caribbean/Black British,Total,50,40
2021/22,E08000032,Bradford,Engineering and Manufacturing Technologies,Male,Asian/ Asian British,1,40,40
2021/22,E07000167,Ryedale,Education and Training,Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Total,Not Provided,E,low,low
2021/22,E08000036,Wakefield,"Leisure, Travel and Tourism",Total,Other Ethnic Group,2,low,low
2021/22,E08000035,Leeds,"Construction, Planning and the Built Environment",Male,Other Ethnic Group,Total,50,40
2021/22,E08000032,Bradford,"Arts, Media and Publishing",Female,Mixed/ Multiple Ethnic Group,Total,low,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Female,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000164,Hambleton,Not Applicable/ Not Known,Female,White,Total,low,low
2021/22,E07000165,Harrogate,Total,Male,White,3,60,40
2021/22,E08000033,Calderdale,Information and Communication Technology,Male,Other Ethnic Group,Total,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Total,Not Provided,4+,low,low
2021/22,E08000032,Bradford,"Health, Public Services and Care",Total,Not Provided,3,10,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Female,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000034,Kirklees,Total,Female,Not Provided,3,20,10
2021/22,E07000166,Richmondshire,Engineering and Manufacturing Technologies,Female,Other Ethnic Group,2,low,low
2021/22,E07000166,Richmondshire,"History, Philosophy and Theology",Female,Asian/ Asian British,2,low,low
2021/22,E07000169,Selby,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Male,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000034,Kirklees,"Business, Administration and Law",Total,Asian/ Asian British,Total,110,60
2021/22,E07000163,Craven,Education and Training,Female,White,3,low,low
2021/22,E07000164,Hambleton,Engineering and Manufacturing Technologies,Female,Not Provided,Not Assigned,low,low
2021/22,E07000168,Scarborough,Not Applicable/ Not Known,Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000033,Calderdale,Total,Male,Total,Not Assigned,40,40
2021/22,E07000166,Richmondshire,Social Sciences,Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000169,Selby,Not Applicable/ Not Known,Male,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E08000034,Kirklees,"Arts, Media and Publishing",Total,White,3,30,30
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Total,Other Ethnic Group,1,low,low
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Total,White,4+,low,low
2021/22,E07000167,Ryedale,"Arts, Media and Publishing",Male,White,E,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Total,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000035,Leeds,Social Sciences,Male,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000036,Wakefield,"Agriculture, Horticulture and Animal Care",Female,Total,Not Assigned,low,low
2021/22,E07000168,Scarborough,"Health, Public Services and Care",Total,Mixed/ Multiple Ethnic Group,Total,10,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000163,Craven,Preparation for Life and Work,Female,Total,3,low,low
2021/22,E08000035,Leeds,"Construction, Planning and the Built Environment",Male,White,Total,600,500
2021/22,E07000166,Richmondshire,"History, Philosophy and Theology",Total,Total,Total,low,low
2021/22,E08000033,Calderdale,Information and Communication Technology,Male,White,Total,120,90
2021/22,E07000169,Selby,Not Applicable/ Not Known,Male,Total,3,low,low
2021/22,E08000032,Bradford,Education and Training,Female,Total,2,300,220
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Female,White,Not Assigned,low,low
2021/22,E07000163,Craven,Preparation for Life and Work,Female,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000167,Ryedale,"Business, Administration and Law",Male,White,1,10,10
2021/22,E08000032,Bradford,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E08000033,Calderdale,"Languages, Literature and Culture",Male,White,3,low,low
2021/22,E08000034,Kirklees,Engineering and Manufacturing Technologies,Female,White,E,low,low
2021/22,E07000169,Selby,Information and Communication Technology,Total,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000168,Scarborough,Science and Mathematics,Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000032,Bradford,Preparation for Life and Work,Total,Total,2,840,390
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Male,Other Ethnic Group,E,low,low
2021/22,E07000163,Craven,Social Sciences,Male,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Female,Asian/ Asian British,4+,low,low
2021/22,E08000033,Calderdale,Information and Communication Technology,Total,Other Ethnic Group,1,low,low
2021/22,E08000035,Leeds,Education and Training,Female,Total,E,low,low
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Total,Other Ethnic Group,4+,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Total,White,1,low,low
2021/22,E07000168,Scarborough,"Agriculture, Horticulture and Animal Care",Male,Total,E,low,low
2021/22,E08000033,Calderdale,Information and Communication Technology,Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Total,White,4+,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Female,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Female,Not Provided,1,10,10
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Male,White,E,10,10
2021/22,E07000164,Hambleton,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000035,Leeds,"Leisure, Travel and Tourism",Male,Other Ethnic Group,E,low,low
2021/22,E07000164,Hambleton,Retail and Commercial Enterprise,Male,Not Provided,4+,low,low
2021/22,E07000168,Scarborough,"Arts, Media and Publishing",Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000163,Craven,Education and Training,Female,Other Ethnic Group,3,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Female,Not Provided,1,low,low
2021/22,E08000034,Kirklees,Social Sciences,Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Male,Total,Total,330,260
2021/22,E07000165,Harrogate,Preparation for Life and Work,Total,Total,2,110,60
2021/22,E07000165,Harrogate,"Health, Public Services and Care",Male,Other Ethnic Group,1,low,low
2021/22,E08000033,Calderdale,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Female,Asian/ Asian British,Total,390,260
2021/22,E07000168,Scarborough,"Business, Administration and Law",Total,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Total,White,Not Assigned,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Total,Other Ethnic Group,3,low,low
2021/22,E07000168,Scarborough,Education and Training,Female,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000167,Ryedale,Engineering and Manufacturing Technologies,Total,Total,1,low,low
2021/22,E08000034,Kirklees,Total,Total,Not Provided,1,90,70
2021/22,E07000169,Selby,"Construction, Planning and the Built Environment",Female,White,3,low,low
2021/22,E08000032,Bradford,Information and Communication Technology,Female,Total,3,10,10
2021/22,E08000032,Bradford,"Construction, Planning and the Built Environment",Female,Not Provided,2,low,low
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Female,White,Total,20,20
2021/22,E07000165,Harrogate,"Health, Public Services and Care",Male,Asian/ Asian British,1,low,low
2021/22,E07000165,Harrogate,"Agriculture, Horticulture and Animal Care",Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000167,Ryedale,"Leisure, Travel and Tourism",Male,Other Ethnic Group,Total,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Total,White,1,low,low
2021/22,E07000165,Harrogate,"Business, Administration and Law",Female,Total,4+,10,low
2021/22,E07000169,Selby,Engineering and Manufacturing Technologies,Female,Other Ethnic Group,Not Assigned,low,low
2021/22,E07000167,Ryedale,"History, Philosophy and Theology",Male,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000034,Kirklees,"Business, Administration and Law",Male,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Male,White,2,60,40
2021/22,E07000163,Craven,Total,Female,Total,E,120,100
2021/22,E07000167,Ryedale,"Construction, Planning and the Built Environment",Male,White,2,10,low
2021/22,E08000034,Kirklees,Social Sciences,Female,Asian/ Asian British,Total,10,low
2021/22,E08000033,Calderdale,Not Applicable/ Not Known,Female,Asian/ Asian British,E,low,low
2021/22,E07000163,Craven,Social Sciences,Male,Asian/ Asian British,Total,low,low
2021/22,E08000035,Leeds,Education and Training,Female,White,4+,low,low
2021/22,E08000034,Kirklees,"Leisure, Travel and Tourism",Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000168,Scarborough,Science and Mathematics,Total,Asian/ Asian British,1,low,low
2021/22,E07000165,Harrogate,"Languages, Literature and Culture",Male,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Total,Total,E,low,low
2021/22,E08000035,Leeds,"Construction, Planning and the Built Environment",Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Female,Total,Not Assigned,low,low
2021/22,E07000168,Scarborough,"Construction, Planning and the Built Environment",Male,Not Provided,E,low,low
2021/22,E07000164,Hambleton,"History, Philosophy and Theology",Total,Total,E,low,low
2021/22,E07000168,Scarborough,Education and Training,Total,White,4+,low,low
2021/22,E07000166,Richmondshire,Engineering and Manufacturing Technologies,Total,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000168,Scarborough,Retail and Commercial Enterprise,Total,Black/African/Caribbean/Black British,1,low,low
2021/22,E08000034,Kirklees,Social Sciences,Total,Other Ethnic Group,2,low,low
2021/22,E08000034,Kirklees,Total,Male,Total,2,1330,990
2021/22,E07000169,Selby,Information and Communication Technology,Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000165,Harrogate,"Construction, Planning and the Built Environment",Male,Not Provided,Not Assigned,low,low
2021/22,E07000163,Craven,Not Applicable/ Not Known,Female,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000167,Ryedale,Not Applicable/ Not Known,Female,Total,Total,low,low
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Total,White,2,30,20
2021/22,E07000165,Harrogate,Preparation for Life and Work,Female,Mixed/ Multiple Ethnic Group,Total,10,10
2021/22,E07000169,Selby,"Business, Administration and Law",Male,Total,3,10,low
2021/22,E07000167,Ryedale,"Languages, Literature and Culture",Female,Other Ethnic Group,3,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Total,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000035,Leeds,Information and Communication Technology,Female,Black/African/Caribbean/Black British,4+,low,low
2021/22,E07000168,Scarborough,"Construction, Planning and the Built Environment",Female,White,Not Assigned,low,low
2021/22,E08000032,Bradford,Not Applicable/ Not Known,Total,Mixed/ Multiple Ethnic Group,Total,10,low
2021/22,E07000168,Scarborough,"Languages, Literature and Culture",Total,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000032,Bradford,"Construction, Planning and the Built Environment",Total,Asian/ Asian British,4+,low,low
2021/22,E08000033,Calderdale,Preparation for Life and Work,Female,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000169,Selby,"Leisure, Travel and Tourism",Total,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Male,Asian/ Asian British,E,low,low
2021/22,E08000032,Bradford,"Agriculture, Horticulture and Animal Care",Female,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000167,Ryedale,"Agriculture, Horticulture and Animal Care",Total,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000166,Richmondshire,"Health, Public Services and Care",Female,Not Provided,Total,low,low
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Male,White,3,30,20
2021/22,E07000166,Richmondshire,Education and Training,Female,Total,Not Assigned,low,low
2021/22,E08000036,Wakefield,"Health, Public Services and Care",Male,Black/African/Caribbean/Black British,2,10,10
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
