Thing,ID,Count
Agency Market: Performance Marketing,RTIC007207,937
Research and Consulting - Physical Sciences and Engineering: Achitectural Consulting,RTIC007001,914
Advanced Manufacturing: Computer Aided Manufacturing,RTIC006505,912
Energy Storage: Batteries,RTIC001301,898
Electronics Manufacturing: Communications,RTIC006701,897
Energy Generation: Fossil Fuels,RTIC001102,888
Legal Services: Consumer or Trading issues,RTIC007602,881
Net Zero: Grid,RTIC005508,876
Cyber: Risk Management,RTIC000607,842
Advanced Manufacturing: Digital Design,RTIC006508,830
Telecommunications: Site Services,RTIC005606,779
Research and Consulting - Physical Sciences and Engineering: Engineering Research,RTIC007004,774
CleanTech: Adapted Goods,RTIC004701,731
Space Economy: Engineering,RTIC006604,729
Food Tech: Food Safety and Traceability,RTIC005704,718
Advanced Manufacturing: Robotics and Automation,RTIC006515,709
Land Remediation: Brownfield Regeneration,RTIC007501,689
Advanced Manufacturing: Coating Tech,RTIC006504,659
Cyber: Incident Detection and Response,RTIC000604,657
Electronics Manufacturing: Measuring and metrology devices,RTIC006705,651
Electronics Manufacturing: Electronic components and boards,RTIC006703,646
Space Economy: Mapping,RTIC006616,635
Telecommunications: Fibre Connectivity,RTIC005603,623
Advanced Materials: Technical Ceramics and Glass,RTIC003410,618
Supply Chain Logistics: Freight Tracking Tech,RTIC003104,617
Geospatial Economy: Data Processing and Visualisation,RTIC000802,590
CleanTech: Environmental Protection and Monitoring,RTIC004704,587
Software Development: Games Development,RTIC007906,585
EdTech: Learning Management Systems,RTIC001005,569
"CleanTech: Energy Production, Management and Storage",RTIC004703,567
Data Infrastructure: Data Centre Cooling,RTIC000701,565
Design and Modelling Technologies: Digital Twins,RTIC005903,555
Energy Management: Smart Meter,RTIC001204,551
Advanced Materials: Coatings,RTIC003403,542
Legal Services: Employment,RTIC007605,541
Geospatial Economy: Data Capture,RTIC000801,535
Software as a Service (SaaS): Finance and Accounting,RTIC002904,534
Artificial Intelligence: Green Tech,RTIC000405,503
Agency Market: Public Relations,RTIC007208,490
FinTech: Peer-to-peer lending,RTIC005216,488
Electronics Manufacturing: Computer manufacture,RTIC006702,479
MedTech: Imaging,RTIC005803,461
Space Economy: In-orbit manufacturing,RTIC006615,459
Space Economy: Hardware,RTIC006609,451
Space Economy: Ground Segment,RTIC006608,451
Software Development: Security Engineering,RTIC007908,444
FinTech: Professional Services,RTIC005219,442
FinTech: Software-as-a-service,RTIC005222,441
Legal Services: Crime,RTIC007603,435
Rehabilitation: Physical Rehabilitation,RTIC007302,414
Agency Market: Branding,RTIC007202,412
Net Zero: Energy Storage,RTIC005506,412
Photonics: Industry 4.0,RTIC002701,402
Software as a Service (SaaS): Human Resources,RTIC002906,401
Media and Publishing: Publishing Services,RTIC006803,395
FinTech: Paytech,RTIC005217,385
Advanced Manufacturing: Moulding,RTIC006513,371
Net Zero: Heating,RTIC005509,369
Photonics: Remote Sensing,RTIC002706,366
Agency Market: User Experience,RTIC007210,360
Computer Hardware: Embedded Systems,RTIC000502,351
Net Zero: Building Technologies,RTIC005502,348
Advanced Materials: Composites,RTIC003404,347
Advanced Manufacturing: Industrial IoT,RTIC006512,346
Cyber: Threat Management,RTIC000608,344
Photonics: Optics,RTIC002703,341
Digital Creative Industries: Photography,RTIC006407,334
Advanced Materials: Technical Textiles,RTIC003411,333
Energy Generation: Renewable Thermal,RTIC001106,328
Pharma: Targeted Therapies,RTIC006207,319
EdTech: Digital Learning,RTIC001003,305
Gaming: Publishers,RTIC001605,302
Immersive Technologies: Virtual Reality,RTIC001815,292
Data Intermediaries: Undefined Intermediaries,RTIC007703,290
Software as a Service (SaaS): Communications,RTIC002902,288
Energy Management: Energy Management Systems,RTIC001202,288
Pharma: Additive Manufacturing,RTIC006201,279
AgriTech: Precision Farming,RTIC000305,278
Digital Creative Industries: Design,RTIC006404,277
Software Development: Embedded Software,RTIC007905,276
Telecommunications: Network Providers,RTIC005604,274
Cyber: Endpoint Security,RTIC000602,273
Life Sciences: Biology and Biotech,RTIC007804,271
Energy Storage: Uninterruptible power supply,RTIC001305,271
Software Development: Desktop,RTIC007903,268
Food Tech: Next Generation Foods,RTIC005707,257
Sensors: Industry 4.0,RTIC003003,254
Computer Hardware: Semiconductor electronics,RTIC000505,253
Food Tech: Agri Tech,RTIC005701,252
AdTech: Data Management and Analysis,RTIC000103,241
Space Economy: Location and Connectivity,RTIC006614,241
Sensors: Mobility,RTIC003005,225
Energy Management: Smart Grid,RTIC001203,223
Cyber: Identity Management,RTIC000603,222
Legal Services: Intellectual Property,RTIC007610,219
Telecommunications: Broadcasting,RTIC005602,216
EdTech: Devices,RTIC001002,216
Electronics Manufacturing: Optical devices,RTIC006707,215
Omics: Metabolomics,RTIC002604,215
Sensors: Autonomous vehicles,RTIC003006,213
Energy Generation: Wind,RTIC001108,212
Sensors: Image and Video Analysis,RTIC003002,212
Internet of Things: Energy Management,RTIC002002,211
Advanced Materials: Polymers,RTIC003409,211
Immersive Technologies: Mixed Reality,RTIC001813,203
Net Zero: Agritech,RTIC005501,201
Telecommunications: Wireless Connectivity,RTIC005607,199
Energy Management: AI and IoT,RTIC001201,198
Supply Chain Logistics: Management Platforms,RTIC003105,193
Supply Chain Logistics: Automation,RTIC003102,193
Telecommunications: 5G Radio Access Network,RTIC005601,190
AgriTech: Automation,RTIC000302,190
Design and Modelling Technologies: 3D Modelling and Scanning,RTIC005901,187
Digital Creative Industries: Entertainment and Performing Arts,RTIC006405,184
EdTech: Immersive Experiences,RTIC001004,184
Immersive Technologies: Edtech,RTIC001804,182
AgriTech: Management Platforms,RTIC000304,181
FinTech: Lendingtech,RTIC005213,172
Food Tech: Food Surplus,RTIC005705,172
Artificial Intelligence: Industry 4.0 and Automation,RTIC000407,172
Net Zero: Low Emission Vehicles,RTIC005512,169
Cryptocurrency Economy: Wallet,RTIC006105,164
Photonics: Telecommunications,RTIC002707,160
Electronics Manufacturing: Repair services,RTIC006708,159
Immersive Technologies: Augmented Reality,RTIC001802,159
Geospatial Economy: Navigation Technologies,RTIC000804,157
Software as a Service (SaaS): Marketing,RTIC002907,157
Wearables and Quantified Self: Medical,RTIC003304,152
"Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services",RTIC005510,150
Software Development: DevOps,RTIC007904,148
Computer Hardware: Field Programmable Gate Arrays,RTIC000503,148
Software Development: Web Development,RTIC007910,148
E-Commerce: Platform,RTIC007402,146
Software as a Service (SaaS): Analytics,RTIC002901,145
Agency Market: Analytics,RTIC007201,142
Immersive Technologies: 360°,RTIC001801,141
AgriTech: AgSciences,RTIC000301,140
Photonics: Quantum Tech,RTIC002705,139
Gaming: Media,RTIC001604,138
Software as a Service (SaaS): Development,RTIC002903,137
Food Tech: Food Delivery,RTIC005708,137
Gaming: Game Development Studios,RTIC001601,136
Advanced Manufacturing: Augmented and Virtual Reality,RTIC006503,133
Advanced Materials: Biomaterials,RTIC003401,132
Pharma: Artificial Intelligence and Blockchain,RTIC006202,131
FinTech: Open Banking,RTIC005225,130
Supply Chain Logistics: Artificial Intelligence,RTIC003101,130
FinTech: Personal Services,RTIC005218,129
Agency Market: Social Media,RTIC007209,127
Pharma: Automation,RTIC006203,126
Agency Market: Customer Relationship Management,RTIC007204,124
Sensors: Environmental Monitoring,RTIC003001,124
Streaming Economy: Enabling Tech,RTIC006001,124
Cyber: IoT Security,RTIC000605,123
Energy Generation: Solar,RTIC001107,122
Legal Services: SEN,RTIC007612,118
Media and Publishing: Video and Motion Graphics production,RTIC006805,115
Advanced Manufacturing: Data Services,RTIC006507,114
Software Development: UI/UX Development,RTIC007909,114
Geospatial Economy: Geospatial and GIS Technologies,RTIC000803,111
Data Infrastructure: Trusted Execution Environments,RTIC000707,108
Data Intermediaries: Data Co-operatives,RTIC007702,108
"CleanTech: Mining, Fuels and Biofuels",RTIC004705,108
Pharma: Precision Medicine,RTIC006205,107
Rehabilitation: Speech and Language Rehabilitation,RTIC007304,102
Software Development: Mobile Development,RTIC007907,97
Media and Publishing: Sound and Music production,RTIC006804,95
"CleanTech: Agriculture, Forestry and Biodiversity",RTIC004702,95
Electronics Manufacturing: Electromedical technologies,RTIC006706,94
FinTech: Buy-Now-Pay-Later,RTIC005205,93
Space Economy: Materials,RTIC006617,82
AgriTech: Remote Sensing,RTIC000306,79
Legal Services: Business Structure and Regulation Advice ,RTIC007601,77
Business Support Services: Vehicle Rental Services,RTIC006906,73
AgriTech: Vertical Farming,RTIC000307,73
Digital Creative Industries: Culture and Heritage,RTIC006403,72
Digital Creative Industries: Streaming,RTIC006408,72
Streaming Economy: Immersive Tech,RTIC006002,72
Advanced Materials: Carbon-Based,RTIC003402,69
Food Tech: Consumer Products and Services,RTIC005702,68
Design and Modelling Technologies: Computer Aided Design,RTIC005902,67
Legal Services: Mediation,RTIC007611,67
MedTech: Artificial Intelligence,RTIC005802,64
Software Development: API Development and Integration,RTIC007901,62
Food Tech: Kitchen Tech,RTIC005706,61
Telecommunications: Satellite Communications,RTIC005605,56
AdTech: Programmatic Platforms,RTIC000104,55
AdTech: Publishers,RTIC000105,55
Rehabilitation: Vocational Rehabilitation,RTIC007305,53
Media and Publishing: Broadcasting Services,RTIC006801,52
Legal Services: Housing/Business premises issue,RTIC007608,52
Rehabilitation: Cognitive Rehabilitation,RTIC007301,52
Photonics: Photovoltaics,RTIC002704,47
Immersive Technologies: Media,RTIC001811,45
FinTech: Enterprise Software,RTIC005214,45
Space Economy: Communications,RTIC006601,44
Cyber: Cryptographic Authentication,RTIC000601,41
Streaming Economy: Live Streaming,RTIC006003,40
Energy Storage: Hydrogen,RTIC001302,36
Energy Storage: Mechanical,RTIC001303,35
Quantum Economy: Components and Materials,RTIC005101,34
Artificial Intelligence: Machine Learning,RTIC000409,34
FinTech: Wealth Management,RTIC005224,34
Net Zero: Carbon Capture,RTIC005503,31
MedTech: Advanced Materials,RTIC005801,31
Advanced Materials: Optics and Photonics,RTIC003408,30
Cryptocurrency Economy: Legal Services,RTIC006103,29
Internet of Things: Smart Cities and Transport,RTIC002005,28
Space Economy: Geospatial Platforms,RTIC006606,28
Artificial Intelligence: Enabling Platforms,RTIC000403,27
Agency Market: Digital Transformation,RTIC007205,25
Gaming: Immersive,RTIC001603,24
Wearables and Quantified Self: Apps,RTIC003301,24
Advanced Materials: Metals,RTIC003407,24
Streaming Economy: On Demand Streaming,RTIC006004,23
Quantum Economy: Photonics,RTIC005102,22
Advanced Manufacturing: Digital Twins,RTIC006509,21
Artificial Intelligence: Data Analysis,RTIC000402,18
Artificial Intelligence: Life Sciences,RTIC000408,17
Immersive Technologies: Gaming,RTIC001809,16
Artificial Intelligence: Signal Processing,RTIC000411,15
Design and Modelling Technologies: XReality,RTIC005904,15
Immersive Technologies: Manufacturing & Engineering,RTIC001810,13
Supply Chain Logistics: Blockchain and Digital Twins,RTIC003103,13
Advanced Manufacturing: Advanced Measurement,RTIC006501,13
Immersive Technologies: Architecture & Construction,RTIC001803,12
FinTech: Cyber Security,RTIC005210,12
Energy Generation: Hydrogen,RTIC001103,12
Photonics: Microelectronics,RTIC002702,12
Advanced Manufacturing: Artificial Intelligence,RTIC006502,11
Internet of Things: e-Health,RTIC002006,11
FinTech: TransferFX,RTIC005223,11
Advanced Materials: Electrochemical,RTIC003405,11
Quantum Economy: Quantum Computing,RTIC005103,11
Immersive Technologies: Retail & Fashion,RTIC001814,10
FinTech: Regtech,RTIC005221,10
FinTech: Business Lending,RTIC005206,9
Software as a Service (SaaS): Real Estate,RTIC002908,9
Wearables and Quantified Self: Fitness Tracking,RTIC003303,8
Space Economy: Cyber Security and Encryption,RTIC006602,8
AgriTech: Drone Technology,RTIC000303,7
FinTech: Consumer Lending,RTIC005208,6
Internet of Things: Industrial IoT,RTIC002003,6
Gaming: Enabling Technology,RTIC001602,6
AdTech: Advertisers,RTIC000102,5
Advanced Materials: Emergent,RTIC003406,5
Omics: Genomics,RTIC002602,5
Space Economy: Geospatial Analytics,RTIC006607,5
Artificial Intelligence: Natural Language Processing,RTIC000410,5
MedTech: Photonics,RTIC005805,5
FinTech: Equity Crowdfunding,RTIC005212,5
Energy Generation: Hydropower,RTIC001104,4
Omics: Proteomics,RTIC002605,4
Space Economy: Launch Infrastructure,RTIC006611,3
FinTech: Blockchain,RTIC005204,3
Space Economy: Space Ecosystem,RTIC006621,3
Energy Generation: Nuclear,RTIC001105,3
Wearables and Quantified Self: Enabling Tech,RTIC003302,3
Data Intermediaries: PDS/PIMS,RTIC007701,2
FinTech: Proptech,RTIC005220,2
Immersive Technologies: Metaverse,RTIC001812,2
FinTech: Capital Markets,RTIC005207,1
Artificial Intelligence: Image Processing,RTIC000406,1
Net Zero: Green Finance,RTIC005507,1
EdTech: Artificial Intelligence,RTIC001001,1
Internet of Things: Connectivity PLatforms,RTIC002001,1
Omics: Lipidomics,RTIC002603,1
Net Zero: Energy Cooperatives,RTIC005505,1
Cryptocurrency Economy: Investment Platforms,RTIC006102,1
Omics: Epigenomics,RTIC002601,1
FinTech: Digital Banking,RTIC005211,1
MedTech: Robotics,RTIC005806,0
Digital Creative Industries: Non-fungible Tokens,RTIC006406,0
Artificial Intelligence: Blockchain,RTIC000401,0
Cryptocurrency Economy: Blockchain,RTIC006101,0
Energy Storage: Thermal,RTIC001304,0
Artificial Intelligence: Systems Optimisation,RTIC000412,0
Streaming Economy: Realtime Data Stream,RTIC006005,0
E-Commerce: Inventory,RTIC007401,0
Immersive Technologies: Hardware,RTIC001807,0
