Thing,ID,Count
Telecommunications: Site Services,RTIC005606,194643155
Life Sciences: Chemical Products and Services,RTIC007805,193886089
Energy Generation: Fossil Fuels,RTIC001102,193275909
Research and Consulting - Physical Sciences and Engineering: Achitectural Consulting,RTIC007001,193210540
Life Sciences: Research,RTIC007801,190702248
Legal Services: General,RTIC007607,190663623
Business Support Services: Office Support Services,RTIC006904,188698653
Pharma: Pharma and BioPharma,RTIC006206,184136797
Advanced Manufacturing: Forming,RTIC006511,175155127
Land Remediation: Brownfield Regeneration,RTIC007501,170216374
Business Support Services: Machinery Rental Services,RTIC006903,170015076
Land Remediation: Remediation Services,RTIC007503,163752847
Advanced Manufacturing: Prototyping,RTIC006514,151557577
Food Tech: Food Safety and Traceability,RTIC005704,142497677
Software as a Service (SaaS): Finance and Accounting,RTIC002904,140214133
CleanTech: Adapted Goods,RTIC004701,139158775
Land Remediation: Regulatory Services,RTIC007502,138624799
"CleanTech: Energy Production, Management and Storage",RTIC004703,136991752
Agency Market: Creative,RTIC007203,134635413
Legal Services: Business Structure and Regulation Advice ,RTIC007601,131789563
Artificial Intelligence: Green Tech,RTIC000405,131731008
Legal Services: Family,RTIC007606,129933792
Energy Storage: Batteries,RTIC001301,126706845
"Legal Services: Wills, trusts, probate and estate administration",RTIC007614,126671585
CleanTech: Environmental Protection and Monitoring,RTIC004704,125547171
E-Commerce: Tracking,RTIC007403,123208460
Net Zero: Pollution Control and Mitigation,RTIC005513,118536205
Research and Consulting - Physical Sciences and Engineering: Engineering Research,RTIC007004,117638523
Media and Publishing: Publishing Services,RTIC006803,115471606
Advanced Manufacturing: Cutting and Machining,RTIC006506,114166356
Gaming: Publishers,RTIC001605,112070138
Legal Services: Tax & Finance,RTIC007613,104885763
Legal Services: Injury,RTIC007609,104744383
Space Economy: Engineering,RTIC006604,101842572
Photonics: Telecommunications,RTIC002707,101654855
FinTech: Open Banking,RTIC005225,101373911
FinTech: Personal Services,RTIC005218,101045911
Advanced Manufacturing: Digital Design,RTIC006508,100259407
Photonics: Quantum Tech,RTIC002705,100173000
AgriTech: Precision Farming,RTIC000305,97784197
Rehabilitation: Psychiatric Rehabilitation,RTIC007303,96055949
Advanced Manufacturing: Computer Aided Manufacturing,RTIC006505,93280076
Agency Market: Performance Marketing,RTIC007207,92288438
Legal Services: Divorce,RTIC007604,92087065
Cyber: IoT Security,RTIC000605,91448000
FinTech: Paytech,RTIC005217,87810000
Telecommunications: 5G Radio Access Network,RTIC005601,86443003
Telecommunications: Network Providers,RTIC005604,84900057
Net Zero: Building Technologies,RTIC005502,83465466
Cyber: Risk Management,RTIC000607,82975080
Advanced Manufacturing: Robotics and Automation,RTIC006515,79479682
Internet of Things: Energy Management,RTIC002002,76636752
Pharma: Research and Data Analytics,RTIC006204,74821357
Supply Chain Logistics: Freight Tracking Tech,RTIC003104,73704861
Legal Services: Consumer or Trading issues,RTIC007602,73689522
Data Intermediaries: Undefined Intermediaries,RTIC007703,72225019
Advanced Materials: Technical Ceramics and Glass,RTIC003410,71581382
Data Infrastructure: Data Centre Cooling,RTIC000701,71513000
Design and Modelling Technologies: Digital Twins,RTIC005903,65765000
Software Development: Security Engineering,RTIC007908,64966038
FinTech: Peer-to-peer lending,RTIC005216,64936717
Space Economy: In-orbit manufacturing,RTIC006615,62362577
Space Economy: Hardware,RTIC006609,61822577
Space Economy: Ground Segment,RTIC006608,61602577
Computer Hardware: Embedded Systems,RTIC000502,60569256
Energy Management: AI and IoT,RTIC001201,60503852
Geospatial Economy: Data Processing and Visualisation,RTIC000802,59188753
EdTech: Learning Management Systems,RTIC001005,58936187
Advanced Materials: Polymers,RTIC003409,57611165
Advanced Manufacturing: Industrial IoT,RTIC006512,56504256
Advanced Manufacturing: Coating Tech,RTIC006504,56461160
Omics: Metabolomics,RTIC002604,56040624
Space Economy: Mapping,RTIC006616,54446644
Net Zero: Energy Storage,RTIC005506,54168748
Legal Services: Crime,RTIC007603,54100000
Advanced Materials: Composites,RTIC003404,52949995
Food Tech: Food Surplus,RTIC005705,52777530
Energy Management: Energy Management Systems,RTIC001202,52379852
Computer Hardware: Semiconductor electronics,RTIC000505,52060839
Cyber: Incident Detection and Response,RTIC000604,51990187
Agency Market: Public Relations,RTIC007208,51690000
Computer Hardware: Field Programmable Gate Arrays,RTIC000503,50407746
Geospatial Economy: Data Capture,RTIC000801,50169091
FinTech: Software-as-a-service,RTIC005222,49491717
Net Zero: Heating,RTIC005509,49181278
FinTech: Professional Services,RTIC005219,49146717
Software Development: Embedded Software,RTIC007905,48274256
Data Infrastructure: Trusted Execution Environments,RTIC000707,46207752
Advanced Materials: Technical Textiles,RTIC003411,45941689
Food Tech: Next Generation Foods,RTIC005707,45749379
AdTech: Data Management and Analysis,RTIC000103,44439561
Legal Services: Employment,RTIC007605,43174025
Software as a Service (SaaS): Communications,RTIC002902,42885613
Sensors: Industry 4.0,RTIC003003,41514032
Energy Management: Smart Grid,RTIC001203,41369227
Photonics: Industry 4.0,RTIC002701,41191000
Cyber: Threat Management,RTIC000608,40997748
Energy Generation: Wind,RTIC001108,40935000
Electronics Manufacturing: Optical devices,RTIC006707,40931218
Electronics Manufacturing: Electromedical technologies,RTIC006706,40525155
Space Economy: Location and Connectivity,RTIC006614,40325852
EdTech: Devices,RTIC001002,39897699
Sensors: Autonomous vehicles,RTIC003006,39233000
Cyber: Identity Management,RTIC000603,39173691
AgriTech: Management Platforms,RTIC000304,39116907
Energy Storage: Uninterruptible power supply,RTIC001305,39096000
Advanced Materials: Coatings,RTIC003403,38764917
Advanced Materials: Biomaterials,RTIC003401,36860740
AgriTech: Automation,RTIC000302,36546907
Advanced Manufacturing: Moulding,RTIC006513,35539520
Sensors: Mobility,RTIC003005,34014265
Food Tech: Agri Tech,RTIC005701,33729960
Pharma: Additive Manufacturing,RTIC006201,33167000
Software Development: DevOps,RTIC007904,32977644
Software as a Service (SaaS): Analytics,RTIC002901,32733894
Sensors: Image and Video Analysis,RTIC003002,32600838
Net Zero: Low Emission Vehicles,RTIC005512,32205000
MedTech: Imaging,RTIC005803,32129000
Telecommunications: Wireless Connectivity,RTIC005607,30222667
Software as a Service (SaaS): Development,RTIC002903,30220000
Cyber: Endpoint Security,RTIC000602,29677894
Agency Market: Branding,RTIC007202,29635967
Software as a Service (SaaS): Human Resources,RTIC002906,29040969
FinTech: Lendingtech,RTIC005213,28768286
Gaming: Media,RTIC001604,28614138
Gaming: Game Development Studios,RTIC001601,27944138
Design and Modelling Technologies: 3D Modelling and Scanning,RTIC005901,27303724
Advanced Manufacturing: Data Services,RTIC006507,27245000
Energy Generation: Renewable Thermal,RTIC001106,27105000
Agency Market: User Experience,RTIC007210,26944425
Data Intermediaries: Data Co-operatives,RTIC007702,26590000
Legal Services: Intellectual Property,RTIC007610,26233872
Energy Storage: Hydrogen,RTIC001302,25609776
Digital Creative Industries: Photography,RTIC006407,25027316
Cryptocurrency Economy: Wallet,RTIC006105,24785000
"CleanTech: Mining, Fuels and Biofuels",RTIC004705,24355784
Space Economy: Materials,RTIC006617,23851000
Telecommunications: Broadcasting,RTIC005602,23473769
Supply Chain Logistics: Automation,RTIC003102,23407659
Life Sciences: Biology and Biotech,RTIC007804,22821599
EdTech: Digital Learning,RTIC001003,22463712
Artificial Intelligence: Industry 4.0 and Automation,RTIC000407,22380234
Immersive Technologies: Virtual Reality,RTIC001815,21991815
Digital Creative Industries: Design,RTIC006404,21983228
Sensors: Environmental Monitoring,RTIC003001,21883000
Quantum Economy: Components and Materials,RTIC005101,21633000
Rehabilitation: Physical Rehabilitation,RTIC007302,21044953
Pharma: Targeted Therapies,RTIC006207,19673599
Food Tech: Food Delivery,RTIC005708,19475000
Photonics: Photovoltaics,RTIC002704,19385521
Supply Chain Logistics: Management Platforms,RTIC003105,19287659
Energy Generation: Solar,RTIC001107,19110000
Software Development: UI/UX Development,RTIC007909,19106136
Pharma: Artificial Intelligence and Blockchain,RTIC006202,18339575
Rehabilitation: Vocational Rehabilitation,RTIC007305,17360000
Net Zero: Agritech,RTIC005501,17334960
Software Development: Desktop,RTIC007903,17270000
"Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services",RTIC005510,17260591
Space Economy: Communications,RTIC006601,16866852
Digital Creative Industries: Entertainment and Performing Arts,RTIC006405,16833534
Media and Publishing: Sound and Music production,RTIC006804,16470774
MedTech: Advanced Materials,RTIC005801,16031000
Quantum Economy: Photonics,RTIC005102,15990000
Quantum Economy: Quantum Computing,RTIC005103,14895000
Space Economy: Cyber Security and Encryption,RTIC006602,14820000
AgriTech: AgSciences,RTIC000301,14525000
Business Support Services: Vehicle Rental Services,RTIC006906,14455000
Digital Creative Industries: Streaming,RTIC006408,14276124
Food Tech: Kitchen Tech,RTIC005706,13825000
Immersive Technologies: Edtech,RTIC001804,13805000
Food Tech: Consumer Products and Services,RTIC005702,13679134
Advanced Materials: Carbon-Based,RTIC003402,13670000
Energy Storage: Mechanical,RTIC001303,13200000
Geospatial Economy: Navigation Technologies,RTIC000804,13115200
"CleanTech: Agriculture, Forestry and Biodiversity",RTIC004702,12180000
AgriTech: Remote Sensing,RTIC000306,12110000
Software Development: Web Development,RTIC007910,12025000
E-Commerce: Platform,RTIC007402,11594000
Software as a Service (SaaS): Marketing,RTIC002907,11520000
Net Zero: Carbon Capture,RTIC005503,11485000
FinTech: Buy-Now-Pay-Later,RTIC005205,11223286
Pharma: Precision Medicine,RTIC006205,11037000
Geospatial Economy: Geospatial and GIS Technologies,RTIC000803,10522000
Supply Chain Logistics: Artificial Intelligence,RTIC003101,10392659
Rehabilitation: Cognitive Rehabilitation,RTIC007301,10332921
Media and Publishing: Video and Motion Graphics production,RTIC006805,10125000
Wearables and Quantified Self: Medical,RTIC003304,10116000
Immersive Technologies: Augmented Reality,RTIC001802,10090000
Cryptocurrency Economy: Legal Services,RTIC006103,9790000
Software Development: API Development and Integration,RTIC007901,9690000
Streaming Economy: Enabling Tech,RTIC006001,9675000
Software Development: Mobile Development,RTIC007907,9610000
Media and Publishing: Broadcasting Services,RTIC006801,9591239
Agency Market: Analytics,RTIC007201,9117365
Pharma: Automation,RTIC006203,8734358
Streaming Economy: Immersive Tech,RTIC006002,8590000
Electronics Manufacturing: Repair services,RTIC006708,8545000
Advanced Materials: Metals,RTIC003407,7895000
Agency Market: Customer Relationship Management,RTIC007204,7885000
Immersive Technologies: Media,RTIC001811,7215000
Legal Services: Housing/Business premises issue,RTIC007608,7085000
Immersive Technologies: Retail & Fashion,RTIC001814,7015000
Telecommunications: Satellite Communications,RTIC005605,6541852
Agency Market: Social Media,RTIC007209,6500000
MedTech: Artificial Intelligence,RTIC005802,6275000
Streaming Economy: Live Streaming,RTIC006003,6254231
Immersive Technologies: Mixed Reality,RTIC001813,5961815
Advanced Materials: Electrochemical,RTIC003405,5815000
Rehabilitation: Speech and Language Rehabilitation,RTIC007304,5521661
Agency Market: Digital Transformation,RTIC007205,5370000
Design and Modelling Technologies: Computer Aided Design,RTIC005902,5153000
Digital Creative Industries: Culture and Heritage,RTIC006403,4996815
Advanced Manufacturing: Advanced Measurement,RTIC006501,4908000
EdTech: Immersive Experiences,RTIC001004,4672099
Legal Services: Mediation,RTIC007611,4560879
FinTech: Enterprise Software,RTIC005214,4305000
AgriTech: Vertical Farming,RTIC000307,4194960
AdTech: Programmatic Platforms,RTIC000104,4135000
AdTech: Publishers,RTIC000105,4135000
Streaming Economy: On Demand Streaming,RTIC006004,4090000
Space Economy: Geospatial Platforms,RTIC006606,3840000
Energy Generation: Hydrogen,RTIC001103,3660000
Immersive Technologies: 360°,RTIC001801,3069150
Cyber: Cryptographic Authentication,RTIC000601,2977202
Legal Services: SEN,RTIC007612,2737921
Advanced Manufacturing: Augmented and Virtual Reality,RTIC006503,2670000
FinTech: Wealth Management,RTIC005224,2605000
Advanced Materials: Optics and Photonics,RTIC003408,2590000
Artificial Intelligence: Enabling Platforms,RTIC000403,2390000
Advanced Manufacturing: Digital Twins,RTIC006509,2325000
Artificial Intelligence: Machine Learning,RTIC000409,2190000
Wearables and Quantified Self: Apps,RTIC003301,2174685
Immersive Technologies: Manufacturing & Engineering,RTIC001810,1930000
Supply Chain Logistics: Blockchain and Digital Twins,RTIC003103,1930000
Artificial Intelligence: Signal Processing,RTIC000411,1895000
FinTech: Proptech,RTIC005220,1875000
Immersive Technologies: Architecture & Construction,RTIC001803,1805000
Energy Generation: Nuclear,RTIC001105,1725000
FinTech: Consumer Lending,RTIC005208,1699000
Gaming: Immersive,RTIC001603,1436719
Internet of Things: Smart Cities and Transport,RTIC002005,1375000
Artificial Intelligence: Life Sciences,RTIC000408,1255000
FinTech: Equity Crowdfunding,RTIC005212,1210000
FinTech: Business Lending,RTIC005206,1165000
AgriTech: Drone Technology,RTIC000303,1165000
Photonics: Microelectronics,RTIC002702,1126852
Artificial Intelligence: Data Analysis,RTIC000402,1100000
FinTech: TransferFX,RTIC005223,1089888
Internet of Things: e-Health,RTIC002006,960000
Advanced Manufacturing: Artificial Intelligence,RTIC006502,945000
Omics: Genomics,RTIC002602,910000
AdTech: Advertisers,RTIC000102,900000
Software as a Service (SaaS): Real Estate,RTIC002908,865000
Energy Generation: Hydropower,RTIC001104,830000
Omics: Lipidomics,RTIC002603,710000
Gaming: Enabling Technology,RTIC001602,700000
Internet of Things: Industrial IoT,RTIC002003,655000
Design and Modelling Technologies: XReality,RTIC005904,634150
Net Zero: Green Finance,RTIC005507,620480
Immersive Technologies: Gaming,RTIC001809,605000
FinTech: Regtech,RTIC005221,560000
Space Economy: Launch Infrastructure,RTIC006611,425000
Space Economy: Space Ecosystem,RTIC006621,400000
FinTech: Cyber Security,RTIC005210,385000
Data Intermediaries: PDS/PIMS,RTIC007701,370000
Space Economy: Geospatial Analytics,RTIC006607,340000
Omics: Proteomics,RTIC002605,280000
Wearables and Quantified Self: Fitness Tracking,RTIC003303,259004
Artificial Intelligence: Natural Language Processing,RTIC000410,230000
Advanced Materials: Emergent,RTIC003406,223734
MedTech: Photonics,RTIC005805,215000
Net Zero: Energy Cooperatives,RTIC005505,200000
Internet of Things: Connectivity PLatforms,RTIC002001,185000
FinTech: Digital Banking,RTIC005211,140000
FinTech: Capital Markets,RTIC005207,120000
Immersive Technologies: Metaverse,RTIC001812,85000
Omics: Epigenomics,RTIC002601,80000
Wearables and Quantified Self: Enabling Tech,RTIC003302,75000
FinTech: Blockchain,RTIC005204,70000
Artificial Intelligence: Image Processing,RTIC000406,70000
Cryptocurrency Economy: Investment Platforms,RTIC006102,70000
EdTech: Artificial Intelligence,RTIC001001,35000
MedTech: Robotics,RTIC005806,0
Digital Creative Industries: Non-fungible Tokens,RTIC006406,0
Artificial Intelligence: Blockchain,RTIC000401,0
Cryptocurrency Economy: Blockchain,RTIC006101,0
Energy Storage: Thermal,RTIC001304,0
Artificial Intelligence: Systems Optimisation,RTIC000412,0
Streaming Economy: Realtime Data Stream,RTIC006005,0
E-Commerce: Inventory,RTIC007401,0
Immersive Technologies: Hardware,RTIC001807,0
