unit_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
Medical practitioners,8.0,0.0,10.0,0.0,0.0,0.0,0.0,33.0,51.0
Production and process engineers,20.0,4.0,6.0,0.0,0.0,0.0,0.0,19.0,49.0
"Business, research and administrative professionals n.e.c.",7.0,0.0,6.0,0.0,5.0,0.0,0.0,31.0,49.0
"Authors, writers and translators",0.0,0.0,4.0,0.0,2.0,0.0,6.0,36.0,48.0
Veterinary nurses,0.0,0.0,15.0,0.0,0.0,0.0,2.0,31.0,48.0
Sales administrators,11.0,0.0,17.0,3.0,1.0,1.0,1.0,11.0,45.0
Pharmacists,0.0,6.0,2.0,0.0,1.0,0.0,0.0,36.0,45.0
Security guards and related occupations,1.0,4.0,0.0,0.0,0.0,6.0,3.0,31.0,45.0
Elementary process plant occupations n.e.c.,2.0,7.0,15.0,1.0,7.0,4.0,1.0,8.0,45.0
Construction and building trades n.e.c.,9.0,2.0,9.0,0.0,0.0,0.0,7.0,17.0,44.0
Public relations professionals,5.0,1.0,10.0,0.0,1.0,2.0,0.0,24.0,43.0
Records clerks and assistants,7.0,1.0,3.0,0.0,0.0,0.0,0.0,32.0,43.0
Credit controllers,7.0,3.0,6.0,0.0,13.0,0.0,0.0,14.0,43.0
"Packers, bottlers, canners and fillers",0.0,7.0,14.0,2.0,6.0,0.0,3.0,10.0,42.0
Other elementary services occupations n.e.c.,0.0,0.0,38.0,0.0,3.0,0.0,0.0,0.0,41.0
Physiotherapists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0
Cleaning and housekeeping managers and supervisors,13.0,0.0,8.0,1.0,2.0,0.0,4.0,12.0,40.0
Office supervisors,4.0,0.0,8.0,0.0,15.0,0.0,0.0,13.0,40.0
"Residential, day and domiciliary  care managers and proprietors",9.0,0.0,13.0,0.0,2.0,0.0,0.0,15.0,39.0
Animal care services occupations n.e.c.,0.0,0.0,0.0,4.0,11.0,1.0,1.0,22.0,39.0
Telephone salespersons,7.0,0.0,29.0,1.0,0.0,0.0,1.0,0.0,38.0
Restaurant and catering establishment managers and proprietors,2.0,1.0,13.0,0.0,5.0,0.0,0.0,17.0,38.0
Psychologists,0.0,0.0,0.0,0.0,1.0,16.0,2.0,16.0,35.0
Dental nurses,0.0,2.0,16.0,0.0,0.0,3.0,2.0,11.0,34.0
Financial accounts managers,1.0,0.0,12.0,0.0,0.0,0.0,0.0,20.0,33.0
Vehicle and parts salespersons and advisers,3.0,1.0,17.0,3.0,0.0,0.0,2.0,6.0,32.0
Special needs education teaching professionals,0.0,0.0,6.0,0.0,0.0,0.0,4.0,22.0,32.0
Business and related research professionals,0.0,0.0,5.0,0.0,0.0,0.0,1.0,25.0,31.0
Telephonists,12.0,5.0,7.0,0.0,1.0,0.0,0.0,6.0,31.0
Construction operatives n.e.c.,0.0,10.0,5.0,0.0,0.0,0.0,0.0,15.0,30.0
Electrical and electronics technicians,6.0,0.0,4.0,0.0,4.0,0.0,0.0,15.0,29.0
Hairdressers and barbers,0.0,5.0,8.0,0.0,0.0,2.0,0.0,14.0,29.0
Metal machining setters and setter-operators,4.0,4.0,11.0,0.0,1.0,1.0,0.0,8.0,29.0
Health professionals n.e.c.,0.0,0.0,6.0,0.0,1.0,0.0,0.0,22.0,29.0
Legal associate professionals,2.0,0.0,15.0,0.0,1.0,1.0,0.0,10.0,29.0
Vehicle body builders and repairers,1.0,3.0,20.0,0.0,0.0,0.0,5.0,0.0,29.0
Health associate professionals n.e.c.,0.0,0.0,3.0,2.0,1.0,10.0,0.0,12.0,28.0
Physical scientists,17.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0
Other drivers and transport operatives n.e.c.,5.0,0.0,6.0,9.0,3.0,4.0,1.0,0.0,28.0
Chief executives and senior officials,3.0,3.0,6.0,0.0,4.0,0.0,1.0,10.0,27.0
Advertising and public relations directors,2.0,0.0,9.0,1.0,0.0,2.0,1.0,12.0,27.0
Therapy professionals n.e.c.,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,27.0
Research and development managers,9.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,26.0
Managers and directors in retail and wholesale,5.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0,26.0
Managers and directors in transport and distribution,5.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,26.0
"Journalists, newspaper and periodical editors",9.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,25.0
Insurance underwriters,1.0,0.0,9.0,0.0,1.0,3.0,0.0,11.0,25.0
Human resources administrative occupations,2.0,0.0,5.0,0.0,6.0,0.0,0.0,12.0,25.0
Fork-lift truck drivers,0.0,6.0,3.0,0.0,1.0,0.0,4.0,10.0,24.0
Conservation professionals,5.0,2.0,7.0,0.0,0.0,0.0,0.0,9.0,23.0
"Arts officers, producers and directors",2.0,1.0,5.0,0.0,0.0,4.0,1.0,10.0,23.0
Environment professionals,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0
Secondary education teaching professionals,2.0,5.0,3.0,0.0,0.0,3.0,0.0,8.0,21.0
Communication operators,3.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,21.0
Merchandisers and window dressers,0.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0,21.0
Cooks,3.0,1.0,6.0,0.0,9.0,2.0,0.0,0.0,21.0
Social workers,1.0,1.0,0.0,0.0,3.0,6.0,1.0,8.0,20.0
Sports and leisure assistants,4.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,20.0
Musicians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
Legal professionals n.e.c.,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0
Furniture makers and other craft woodworkers,4.0,8.0,0.0,1.0,0.0,6.0,0.0,0.0,19.0
Electronics engineers,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0
Routine inspectors and testers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
"Launderers, dry cleaners and pressers",0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0
Education advisers and school inspectors,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0
Counsellors,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,17.0
Vehicle valeters and cleaners,13.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,17.0
Occupational therapists,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0
IT specialist managers,1.0,0.0,0.0,0.0,2.0,0.0,1.0,13.0,17.0
Chemical and related process operatives,0.0,4.0,0.0,0.0,2.0,0.0,0.0,11.0,17.0
Social services managers and directors,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0
Youth and community workers,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,16.0
Building and civil engineering technicians,5.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0
"Glaziers, window fabricators and fitters",2.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,16.0
Hotel and accommodation managers and proprietors,0.0,0.0,3.0,1.0,0.0,0.0,0.0,12.0,16.0
Medical secretaries,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,15.0
"Skilled metal, electrical and electronic trades supervisors",0.0,3.0,2.0,0.0,1.0,0.0,0.0,9.0,15.0
Further education teaching professionals,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,15.0
Careers advisers and vocational guidance specialists,1.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,15.0
Farm workers,0.0,1.0,3.0,2.0,3.0,2.0,4.0,0.0,15.0
"Actuaries, economists and statisticians",6.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,15.0
Legal secretaries,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0
Prison service officers (below principal officer),10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
Ophthalmic opticians,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,14.0
Assemblers (electrical and electronic products),0.0,0.0,3.0,0.0,0.0,3.0,2.0,6.0,14.0
Mobile machine drivers and operatives n.e.c.,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0
Artists,1.0,1.0,3.0,0.0,4.0,1.0,4.0,0.0,14.0
Painters and decorators,0.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0,13.0
Bank and post office clerks,4.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,13.0
"Senior officers in fire, ambulance, prison and related services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Librarians,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,13.0
Pest control officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Parking and civil enforcement occupations,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0
"Roofers, roof tilers and slaters",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
Inspectors of standards and regulations,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0
Bus and coach drivers,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,11.0
Telecommunications engineers,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,10.0
Assemblers (vehicles and metal goods),2.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,10.0
Dispensing opticians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Typists and related keyboard occupations,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,10.0
Bakers and flour confectioners,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,10.0
Housing officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
"Debt, rent and other cash collectors",0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,9.0
Managers and proprietors in agriculture and horticulture,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,9.0
Steel erectors,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
Taxation experts,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0
"Food, drink and tobacco process operatives",1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,8.0
Educational support assistants,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
Brokers,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,8.0
"Tool makers, tool fitters and markers-out",7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
Town planning officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Call and contact centre occupations,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,8.0
"Product, clothing and related designers",0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
Public services associate professionals,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0
Pharmaceutical technicians,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
Senior care workers,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0
Printers,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,7.0
School midday and crossing patrol occupations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Ship and hovercraft officers,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
"Photographers, audio-visual and broadcasting equipment operators",2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0
Houseparents and residential wardens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
"Textiles, garments and related trades n.e.c.",0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,6.0
Pre-press technicians,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0
Travel agents,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0
Local government administrative occupations,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0
Pensions and insurance clerks and assistants,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
Childminders and related occupations,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0
Social and humanities scientists,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Tailors and dressmakers,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Taxi and cab drivers and chauffeurs,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0
"Actors, entertainers and presenters",1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
Fitness instructors,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0
Fishing and other elementary agriculture occupations n.e.c.,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0
Police officers (sergeant and below),3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
Floorers and wall tilers,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
Retail cashiers and check-out operators,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0
Clergy,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Leisure and theme park attendants,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
"Moulders, core makers and die casters",3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Farmers,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Weavers and knitters,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Street cleaners,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Print finishing and binding workers,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Printing machine assistants,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Refuse and salvage occupations,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0
Rail transport operatives,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Quarry workers and related operatives,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Plastics process operatives,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Conservation and environmental associate professionals,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Assemblers and routine operatives n.e.c.,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
Smiths and forge workers,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Shopkeepers and proprietors – wholesale and retail,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Shelf fillers,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
"Weighers, graders and sorters",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"Scaffolders, stagers and riggers",0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Leisure and travel service occupations n.e.c.,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Pipe fitters,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Plasterers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
NCOs and other ranks,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Aircraft maintenance and related trades,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Air-conditioning and refrigeration engineers,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Playworkers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Bricklayers and masons,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Library clerks and assistants,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Agricultural machinery drivers,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Agricultural and fishing trades n.e.c.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Energy plant operatives,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
IT engineers,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Financial and accounting technicians,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Elementary security occupations n.e.c.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
"TV, video and audio engineers",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Groundsmen and greenkeepers,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Elementary cleaning occupations n.e.c.,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Road construction operatives,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Sheet metal workers,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Production managers and directors in mining and energy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Paper and wood machine operatives,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
National government administrative occupations,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
