major_title,sub_major_title,minor_title,unit_title,count
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS","Business, Research and Administrative Professionals",Business and financial project management professionals,1446
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS","Business, Research and Administrative Professionals",Chartered and certified accountants,347
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS","Business, Research and Administrative Professionals",Management consultants and business analysts,1879
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",Legal Professionals,Solicitors,436
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",Quality and Regulatory Professionals,Quality assurance and regulatory professionals,406
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Health Professionals,Medical radiographers,1436
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Health Professionals,Veterinarians,1318
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Nursing and Midwifery Professionals,Nurses,9795
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Therapy Professionals,Physiotherapists,656
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Engineering Professionals,Civil engineers,1362
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Engineering Professionals,Design and development engineers,412
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Engineering Professionals,Engineering professionals n.e.c.,918
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Engineering Professionals,Mechanical engineers,715
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,"IT business analysts, architects and systems designers",1455
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,IT project and programme managers,496
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,Information technology and telecommunications professionals n.e.c.,852
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,Programmers and software development professionals,3415
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,Web design and development professionals,620
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Natural and Social Science Professionals,Biological scientists and biochemists,308
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Natural and Social Science Professionals,Natural and social science professionals n.e.c.,249
PROFESSIONAL OCCUPATIONS,TEACHING AND EDUCATIONAL PROFESSIONALS,Teaching and Educational Professionals,Higher education teaching professionals,794
PROFESSIONAL OCCUPATIONS,TEACHING AND EDUCATIONAL PROFESSIONALS,Teaching and Educational Professionals,Teaching and other educational professionals n.e.c.,424
SALES AND CUSTOMER SERVICE OCCUPATIONS,All other postings,All other postings,All other postings,1201
SALES AND CUSTOMER SERVICE OCCUPATIONS,CUSTOMER SERVICE OCCUPATIONS,Customer Service Managers and Supervisors,Customer service managers and supervisors,372
SALES AND CUSTOMER SERVICE OCCUPATIONS,CUSTOMER SERVICE OCCUPATIONS,Customer Service Occupations,Customer service occupations n.e.c.,1148
SALES AND CUSTOMER SERVICE OCCUPATIONS,SALES OCCUPATIONS,Sales Related Occupations,Sales related occupations n.e.c.,3386
SALES AND CUSTOMER SERVICE OCCUPATIONS,SALES OCCUPATIONS,Sales Supervisors,Sales supervisors,454
SKILLED TRADES OCCUPATIONS,All other postings,All other postings,All other postings,3897
SKILLED TRADES OCCUPATIONS,SKILLED CONSTRUCTION AND BUILDING TRADES,Construction and Building Trades,Plumbers and heating and ventilating engineers,474
SKILLED TRADES OCCUPATIONS,"SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADES",Electrical and Electronic Trades,Electricians and electrical fitters,542
SKILLED TRADES OCCUPATIONS,"SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADES","Metal Machining, Fitting and Instrument Making Trades",Metal working production and maintenance fitters,409
SKILLED TRADES OCCUPATIONS,"TEXTILES, PRINTING AND OTHER SKILLED TRADES",Food Preparation and Hospitality Trades,Catering and bar managers,494
SKILLED TRADES OCCUPATIONS,"TEXTILES, PRINTING AND OTHER SKILLED TRADES",Food Preparation and Hospitality Trades,Chefs,564
