Local Area,JobFunction Growth Rank,JobFunction Name,Job Growth Rank,Job Name,Emergence Metric (Compound annual growth rate in % Share of Hiring by Job - 2017 to 2021),"<--This job list contains ALL jobs that have been growing in demand from 2017 to 2021, categorized into Job Functions for readability"
West Yorkshire,3,Finance,10,Finance Business Partner,0.053082857,NA
West Yorkshire,3,Finance,11,Claims Manager,0.046628809,NA
West Yorkshire,3,Finance,12,Head Of Finance,0.040421529,NA
West Yorkshire,3,Finance,13,Financial Analyst,0.037034301,NA
West Yorkshire,3,Finance,14,Treasurer,0.035423414,NA
West Yorkshire,3,Finance,15,Finance Officer,0.033794101,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,0.027282282,NA
West Yorkshire,3,Finance,17,Risk Manager,0.016469933,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,0.009825769,NA
West Yorkshire,3,Finance,19,Finance Manager,0.006437016,NA
West Yorkshire,3,Finance,20,Investment Manager,0.004881464,NA
West Yorkshire,3,Finance,21,Actuary,0.003922606,NA
West Yorkshire,4,Marketing,1,Brand Associate,0.2020794,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,0.15522035,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,0.143504667,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,0.118362987,NA
West Yorkshire,4,Marketing,5,Digital Manager,0.103368144,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,0.087083599,NA
West Yorkshire,4,Marketing,7,Social Media Manager,0.085024714,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,0.083769258,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,0.060565548,NA
West Yorkshire,4,Marketing,10,Category Manager,0.057517895,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,0.050390376,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,0.032242925,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,0.027282282,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,0.015132615,NA
West Yorkshire,4,Marketing,15,Marketing Officer,0.012237801,NA
West Yorkshire,4,Marketing,16,Marketing Director,0.001266689,NA
West Yorkshire,4,Marketing,17,Marketing Executive,3.3354e-4,NA
West Yorkshire,5,Legal,1,Compliance Manager,0.096132707,NA
West Yorkshire,5,Legal,2,Legal Specialist,0.084232012,NA
West Yorkshire,5,Legal,3,Legal Assistant,0.03787185,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,0.168502235,NA
West Yorkshire,6,Human Resources,2,Recruiter,0.138869381,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,0.108286001,NA
West Yorkshire,6,Human Resources,4,Human Resources Coordinator,0.089270908,NA
West Yorkshire,6,Human Resources,5,Head Of Human Resources,0.087449374,NA
West Yorkshire,6,Human Resources,6,Payroll Administrator,0.068168947,NA
West Yorkshire,6,Human Resources,7,Recruitment Coordinator,0.056930276,NA
West Yorkshire,6,Human Resources,8,Human Resources Specialist,0.045283524,NA
West Yorkshire,6,Human Resources,9,Payroll Supervisor,0.03845102,NA
West Yorkshire,6,Human Resources,10,Recruitment Associate,0.035423414,NA
West Yorkshire,6,Human Resources,11,Human Resources Officer,0.020005242,NA
West Yorkshire,6,Human Resources,12,Learning and Development Coordinator,0.017240279,NA
West Yorkshire,6,Human Resources,13,Human Resources Administrator,0.013204601,NA
West Yorkshire,6,Human Resources,14,Recruitment Consultant,0.003597238,NA
West Yorkshire,7,Healthcare Services,1,Psychologist,0.082483644,NA
West Yorkshire,7,Healthcare Services,2,Medical Doctor,0.060565548,NA
West Yorkshire,7,Healthcare Services,3,Healthcare Assistant,0.050928486,NA
West Yorkshire,7,Healthcare Services,4,Medical Secretary,0.03845102,NA
West Yorkshire,7,Healthcare Services,5,Physical Therapist,0.032776084,NA
West Yorkshire,7,Healthcare Services,6,Medical Specialist,0.024220284,NA
West Yorkshire,7,Healthcare Services,7,Nutritionist,0.017240279,NA
West Yorkshire,8,Engineering,1,Full Stack Engineer,0.157327469,NA
West Yorkshire,8,Engineering,2,Data Scientist,0.144088983,NA
West Yorkshire,8,Engineering,3,Civil Engineer,0.099952078,NA
West Yorkshire,8,Engineering,4,Mobile Application Developer,0.093404278,NA
West Yorkshire,8,Engineering,5,Software Consultant,0.070965239,NA
West Yorkshire,8,Engineering,6,Quality Assurance Engineer,0.062788975,NA
West Yorkshire,8,Engineering,7,Scrum Master,0.054648495,NA
West Yorkshire,8,Engineering,8,Software Test Engineer,0.05096609,NA
West Yorkshire,8,Engineering,9,DevOps Consultant,0.04515126,NA
West Yorkshire,8,Engineering,10,Software Engineer,0.033051908,NA
West Yorkshire,8,Engineering,11,Engineering Manager,0.024220284,NA
West Yorkshire,8,Engineering,12,Solutions Architect,0.020804717,NA
West Yorkshire,8,Engineering,13,Programming Analyst,0.014274513,NA
West Yorkshire,8,Engineering,14,Director Of Engineering,0.01323742,NA
West Yorkshire,8,Engineering,15,Engineering Team Lead,0.011958794,NA
West Yorkshire,8,Engineering,16,Agile Coach,0.003922606,NA
West Yorkshire,9,Research,1,Ecologist,0.094906213,NA
West Yorkshire,9,Research,2,Laboratory Assistant,0.093271712,NA
West Yorkshire,9,Research,3,Business Intelligence Manager,0.09225935,NA
West Yorkshire,9,Research,4,Analytics Manager,0.060565548,NA
West Yorkshire,9,Research,5,Business Intelligence Analyst,0.023173022,NA
West Yorkshire,9,Research,6,Research Director,0.011958794,NA
West Yorkshire,10,Program and Project Management,1,Change Manager,0.032079673,NA
West Yorkshire,10,Program and Project Management,2,Information Technology Project Manager,0.021036942,NA
West Yorkshire,10,Program and Project Management,3,Project Manager,0.011958794,NA
West Yorkshire,11,Administrative,1,Office Administrator,0.051683964,NA
West Yorkshire,11,Administrative,2,Office Associate,0.032113007,NA
West Yorkshire,11,Administrative,3,Administrative Assistant,0.013909403,NA
West Yorkshire,11,Administrative,4,Data Entry Clerk,0.011084907,NA
West Yorkshire,12,Accounting,1,Audit Associate,0.108080687,NA
West Yorkshire,12,Accounting,2,Management Accountant,0.022280459,NA
West Yorkshire,12,Accounting,3,Accounting Controller,0.019557479,NA
West Yorkshire,12,Accounting,4,Tax Accountant,0.005375993,NA
West Yorkshire,12,Accounting,5,Audit Supervisor,0.003523511,NA
West Yorkshire,13,Information Technology,1,Data Engineer,0.211227406,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,0.150153398,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,0.06963153,NA
West Yorkshire,13,Information Technology,4,System Engineer,0.057006523,NA
West Yorkshire,13,Information Technology,5,Data Analyst,0.050564512,NA
West Yorkshire,13,Information Technology,6,Data Administrator,0.042491807,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,0.03845102,NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,0.024220284,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,0.02195929,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,0.017689656,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,0.01159121,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,0.008821108,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,0.003922606,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,0.001266689,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,0.001266689,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,0.128436772,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,0.08012012,NA
West Yorkshire,14,Media and Communication,3,Content Producer,0.0735031,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,0.070179497,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,0.045638218,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,0.042491807,NA
West Yorkshire,14,Media and Communication,7,Video Editor,0.009825769,NA
West Yorkshire,15,Education,1,Sports Coach,0.122191315,NA
West Yorkshire,15,Education,2,Academic Tutor,0.099952078,NA
West Yorkshire,15,Education,3,Football Coach,0.079817396,NA
West Yorkshire,15,Education,4,English Tutor,0.06891749,NA
West Yorkshire,15,Education,5,Academic Administrator,0.055208882,NA
West Yorkshire,15,Education,6,Mathematics Tutor,0.02836706,NA
West Yorkshire,15,Education,7,Teaching Assistant,0.018003564,NA
West Yorkshire,15,Education,8,Elementary School Teacher,0.011084907,NA
West Yorkshire,16,Arts and Design,1,User Experience Designer,0.055672303,NA
West Yorkshire,16,Arts and Design,2,Motion Graphic Designer,0.042491807,NA
West Yorkshire,16,Arts and Design,3,Architectural Assistant,0.039860049,NA
West Yorkshire,16,Arts and Design,4,Architectural Technician,0.03845102,NA
West Yorkshire,16,Arts and Design,5,3D Artist,0.024220284,NA
West Yorkshire,16,Arts and Design,6,Product Design Consultant,0.024220284,NA
West Yorkshire,16,Arts and Design,7,Vice President Design,0.010625949,NA
West Yorkshire,16,Arts and Design,8,Architectural Technologist,0.004328724,NA
West Yorkshire,17,Sales,1,Software Account Executive,0.12112052,NA
West Yorkshire,17,Sales,2,Retail Specialist,0.096697724,NA
West Yorkshire,17,Sales,3,Keyholder,0.09377218,NA
West Yorkshire,17,Sales,4,Parts Sales Specialist,0.070965239,NA
West Yorkshire,17,Sales,5,Director of Account Management,0.041002527,NA
West Yorkshire,17,Sales,6,Retail Business Manager,0.034346342,NA
West Yorkshire,17,Sales,7,Head Of Sales,0.02836706,NA
West Yorkshire,17,Sales,8,Account Coordinator,0.027282282,NA
West Yorkshire,17,Sales,9,Merchandising Supervisor,0.024842154,NA
West Yorkshire,17,Sales,10,Sales Engineer,0.014274513,NA
West Yorkshire,17,Sales,11,Sales Coordinator,0.0076447,NA
West Yorkshire,17,Sales,12,Account Executive,0.006564692,NA
West Yorkshire,17,Sales,13,Sales Administrator,0.004071401,NA
West Yorkshire,18,Business Development,1,Business Development Representative,0.145515532,NA
West Yorkshire,18,Business Development,2,Strategic Partnerships,0.074343746,NA
West Yorkshire,18,Business Development,3,Engagement Manager,0.067543555,NA
West Yorkshire,18,Business Development,4,Director Business Strategy,0.049741185,NA
West Yorkshire,18,Business Development,5,Business Development Executive,0.007384863,NA
York And North Yorkshire,1,Operations,1,Bar Staff,0.1354061958934,NA
York And North Yorkshire,1,Operations,2,Server Assistant,0.132095917391187,NA
York And North Yorkshire,1,Operations,3,Maintenance Engineer,0.104108343511356,NA
York And North Yorkshire,1,Operations,4,Warehouse Team Lead,0.104108343511356,NA
York And North Yorkshire,1,Operations,5,Food and Beverage Server,0.0985875250495711,NA
York And North Yorkshire,1,Operations,6,Process Engineer,0.0938833564465615,NA
York And North Yorkshire,1,Operations,7,Bartender,0.079195028151529,NA
York And North Yorkshire,1,Operations,8,Driver,0.0777898215240056,NA
York And North Yorkshire,1,Operations,9,Supply Chain Associate,0.0773643220539876,NA
York And North Yorkshire,1,Operations,10,Event Manager,0.0682503575053268,NA
York And North Yorkshire,1,Operations,11,Health Safety Environment Officer,0.0559167743561224,NA
York And North Yorkshire,1,Operations,12,Chief Operating Officer,0.0480096855421292,NA
York And North Yorkshire,1,Operations,13,Quantity Surveyor,0.0314575706995492,NA
York And North Yorkshire,1,Operations,14,Food And Beverage Assistant,0.0302307774636443,NA
York And North Yorkshire,1,Operations,15,"Environment, Health and Safety Manager",0.0243921275641834,NA
York And North Yorkshire,1,Operations,16,Supply Chain Coordinator,0.0141607685681819,NA
York And North Yorkshire,1,Operations,17,Hospitality Manager,0.00193839338219015,NA
York And North Yorkshire,2,Legal,1,Legal Assistant,0.142512334634611,NA
York And North Yorkshire,2,Legal,2,Compliance Manager,0.0705879080007005,NA
York And North Yorkshire,3,Customer Success and Support,1,Customer Service Advisor,0.0750119757535157,NA
York And North Yorkshire,3,Customer Success and Support,2,Customer Assistant,0.0672212126677525,NA
York And North Yorkshire,3,Customer Success and Support,3,Customer Experience Manager,0.0615138200428631,NA
York And North Yorkshire,3,Customer Success and Support,4,Customer Service Representative,0.044936046796592397,NA
York And North Yorkshire,3,Customer Success and Support,5,Customer Service Manager,0.0185455001043857,NA
York And North Yorkshire,3,Customer Success and Support,6,Guest Services Associate,0.0129648209374388,NA
York And North Yorkshire,4,Marketing,1,Marketing Specialist,0.163591023480702,NA
York And North Yorkshire,4,Marketing,2,Social Media Manager,0.123490498637736,NA
York And North Yorkshire,4,Marketing,3,Head of Marketing,0.12293922727377,NA
York And North Yorkshire,4,Marketing,4,Digital Marketing Consultant,0.0971197543125916,NA
York And North Yorkshire,4,Marketing,5,Marketing Assistant,0.0909604466332809,NA
York And North Yorkshire,4,Marketing,6,Marketing Executive,0.0569499630011971,NA
York And North Yorkshire,4,Marketing,7,Digital Marketing Manager,0.0486171104201025,NA
York And North Yorkshire,4,Marketing,8,Marketing Manager,0.0347813482203898,NA
York And North Yorkshire,5,Human Resources,1,Human Resources Administrator,0.204544749761315,NA
York And North Yorkshire,5,Human Resources,2,Recruiter,0.14030036958994,NA
York And North Yorkshire,5,Human Resources,3,Human Resources Assistant,0.0810858764182353,NA
York And North Yorkshire,5,Human Resources,4,Human Resources Counselor,0.0301082476341234,NA
York And North Yorkshire,5,Human Resources,5,Head of Human Resources,0.0280903903161013,NA
York And North Yorkshire,5,Human Resources,6,Human Resources Manager,0.0231474189928364,NA
York And North Yorkshire,5,Human Resources,7,Recruitment Consultant,0.00679192821346785,NA
York And North Yorkshire,6,Administrative,1,Administrative Office Manager,0.0582357940105031,NA
York And North Yorkshire,6,Administrative,2,Administrative Assistant,0.0378360832287087,NA
York And North Yorkshire,6,Administrative,3,Office Administrator,0.0362608405574031,NA
York And North Yorkshire,6,Administrative,4,Office Associate,0.025070983115548,NA
York And North Yorkshire,6,Administrative,5,Executive Assistant,0.00382885662846166,NA
York And North Yorkshire,7,Research,1,Ecologist,0.0369737012460045,NA
York And North Yorkshire,7,Research,2,Laboratory Assistant,0.0359794772684081,NA
York And North Yorkshire,7,Research,3,Business Analyst,0.0224955938177771,NA
York And North Yorkshire,7,Research,4,Research Instructor,0.00193839338219015,NA
York And North Yorkshire,7,Research,5,Business Intelligence Manager,0.00193839338219015,NA
York And North Yorkshire,8,Healthcare Services,1,Physical Therapist,0.0954814397517473,NA
York And North Yorkshire,8,Healthcare Services,2,Registered Nurse,0.0264532953986325,NA
York And North Yorkshire,8,Healthcare Services,3,Occupational Therapist,0.0226932921298921,NA
York And North Yorkshire,9,Media and Communication,1,Copywriter,0.182943918304653,NA
York And North Yorkshire,9,Media and Communication,2,Communications Manager,0.0606733488223691,NA
York And North Yorkshire,9,Media and Communication,3,Editor,0.0377003828993787,NA
York And North Yorkshire,9,Media and Communication,4,Content Producer,0.0298124944278399,NA
York And North Yorkshire,9,Media and Communication,5,Communications Associate,0.0280903903161013,NA
York And North Yorkshire,9,Media and Communication,6,Media Producer,0.0210840106810275,NA
York And North Yorkshire,10,Information Technology,1,Data Analyst,0.0915583973605609,NA
York And North Yorkshire,10,Information Technology,2,Information Technology Technician,0.0645729884204076,NA
York And North Yorkshire,10,Information Technology,3,Technical Support Engineer,0.0311639590462955,NA
York And North Yorkshire,10,Information Technology,4,Head of Information Technology,0.0280903903161013,NA
York And North Yorkshire,11,Arts and Design,1,Architect,0.150270305259589,NA
York And North Yorkshire,11,Arts and Design,2,Web Designer,0.0810858764182353,NA
York And North Yorkshire,11,Arts and Design,3,Production Runner,0.0705879080007005,NA
York And North Yorkshire,11,Arts and Design,4,Vice President Design,0.0129648209374388,NA
York And North Yorkshire,12,Finance,1,Treasurer,0.053123304582664,NA
York And North Yorkshire,12,Finance,2,Finance Officer,0.0298124944278399,NA
York And North Yorkshire,12,Finance,3,Finance Specialist,0.0280903903161013,NA
York And North Yorkshire,12,Finance,4,Financial Assistant,0.0252775153406688,NA
York And North Yorkshire,12,Finance,5,Actuary,0.0129648209374388,NA
York And North Yorkshire,13,Engineering,1,DevOps Consultant,0.104108343511356,NA
York And North Yorkshire,13,Engineering,2,Mechanical Engineer,0.0559167743561224,NA
York And North Yorkshire,13,Engineering,3,Frontend Developer,0.0322528357701297,NA
York And North Yorkshire,13,Engineering,4,Director of Engineering,0.00982864672571026,NA
York And North Yorkshire,14,Education,1,Education Professional,0.0750119757535157,NA
York And North Yorkshire,14,Education,2,Teaching Assistant,0.0234863859815666,NA
York And North Yorkshire,14,Education,3,Lecturer,0.00365994716969053,NA
York And North Yorkshire,15,Accounting,1,Accounting Clerk,0.0345366033140495,NA
York And North Yorkshire,17,Sales,1,Retail Specialist,0.179941483841158,NA
York And North Yorkshire,17,Sales,2,Sales Administrator,0.0715773624702891,NA
York And North Yorkshire,17,Sales,3,Sales Expert,0.0145718594079762,NA
York And North Yorkshire,18,Business Development,1,Director of Business Development,0.0750119757535157,NA
