Local Area,JobFunction Growth Rank,JobFunction Name,Job Growth Rank,Job Name,Skill Rank,Top 10 List of Skills Needed for the Job,Top 10 List of Skills Added by Members in Chamber Region occupied with the Job,"<--This job list contains ALL jobs that have been growing in demand from 2017 to 2021, categorized into Job Functions for readability"
West Yorkshire,1,Operations,15,Housekeeper,2,Hospitality,Time Management,NA
West Yorkshire,1,Operations,15,Housekeeper,3,Hospitality Management,Teamwork,NA
West Yorkshire,1,Operations,15,Housekeeper,4,Hotel Management,Communication,NA
West Yorkshire,1,Operations,15,Housekeeper,5,Laundry,Customer Service,NA
West Yorkshire,1,Operations,15,Housekeeper,6,Pre-opening,Microsoft Word,NA
West Yorkshire,1,Operations,15,Housekeeper,7,Rooms Division,Microsoft Office,NA
West Yorkshire,1,Operations,15,Housekeeper,8,Professional Cleaning,Management,NA
West Yorkshire,1,Operations,15,Housekeeper,9,Front Office,NA,NA
West Yorkshire,1,Operations,15,Housekeeper,10,Time Management,NA,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,1,Quantity Surveying,Quantity Surveying,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,2,Cost Management,Cost Management,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,3,Cost Reporting,Cost Planning,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,4,Cost Planning,Cost Reporting,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,5,Value Engineering,Value Engineering,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,6,Commercial Management,Construction,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,7,Construction,Commercial Management,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,8,Subcontracting,Contract Management,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,9,Construction Management,Cost Control,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,10,Cost Control,Procurement,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,1,Food & Beverage,Teamwork,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,2,Hospitality,Time Management,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,3,Catering,Food & Beverage,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,4,Teamwork,Communication,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,5,Time Management,Organization Skills,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,6,Food Safety,Customer Service,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,7,Food Service,Microsoft Word,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,8,Communication,Research,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,9,Customer Service,Hospitality,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,10,Food Preparation,Bartending,NA
West Yorkshire,1,Operations,18,Process Engineer,1,Process Engineering,Process Engineering,NA
West Yorkshire,1,Operations,18,Process Engineer,2,Chemical Engineering,Chemical Engineering,NA
West Yorkshire,1,Operations,18,Process Engineer,3,HAZOP Study,Process Optimization,NA
West Yorkshire,1,Operations,18,Process Engineer,4,Process Simulation,Process Design,NA
West Yorkshire,1,Operations,18,Process Engineer,5,Piping and Instrumentation Drawing (P&ID),HAZOP Study,NA
West Yorkshire,1,Operations,18,Process Engineer,6,Aspen HYSYS,Manufacturing,NA
West Yorkshire,1,Operations,18,Process Engineer,7,Engineering,Engineering,NA
West Yorkshire,1,Operations,18,Process Engineer,8,Lean Manufacturing,Process Control,NA
West Yorkshire,1,Operations,18,Process Engineer,9,Manufacturing,Project Engineering,NA
West Yorkshire,1,Operations,18,Process Engineer,10,Project Engineering,Continuous Improvement,NA
West Yorkshire,1,Operations,19,Driver,1,Professional Driving,Professional Driving,NA
West Yorkshire,1,Operations,19,Driver,2,Truck Driving,Truck Driving,NA
West Yorkshire,1,Operations,19,Driver,3,Transportation,Transportation,NA
West Yorkshire,1,Operations,19,Driver,4,HGV,HGV,NA
West Yorkshire,1,Operations,19,Driver,5,Commercial Driving,Road Transport,NA
West Yorkshire,1,Operations,19,Driver,6,Road Transport,Trucking,NA
West Yorkshire,1,Operations,19,Driver,7,Trucking,Logistics Management,NA
West Yorkshire,1,Operations,19,Driver,8,Logistics Management,Commercial Driving,NA
West Yorkshire,1,Operations,19,Driver,9,Warehouse Operations,Warehouse Operations,NA
West Yorkshire,1,Operations,19,Driver,10,Truck,Route Planning,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,1,Machine Operation,Machine Operation,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,2,Manufacturing,Manufacturing,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,3,Forklift Operation,Forklift Operation,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,4,Continuous Improvement,Continuous Improvement,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,5,Lean Manufacturing,Lean Manufacturing,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,6,5S,English,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,7,Hand Tools,Problem Solving,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,8,Machinery,Teamwork,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,9,Production Equipment,Communication,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,10,Good Manufacturing Practice (GMP),Microsoft Word,NA
West Yorkshire,1,Operations,21,Contract Manager,1,Contract Management,Contract Management,NA
West Yorkshire,1,Operations,21,Contract Manager,2,Construction Management,Contract Negotiation,NA
West Yorkshire,1,Operations,21,Contract Manager,3,Construction,Procurement,NA
West Yorkshire,1,Operations,21,Contract Manager,4,Contract Negotiation,Construction,NA
West Yorkshire,1,Operations,21,Contract Manager,5,General Contractor Relations,Project Planning,NA
West Yorkshire,1,Operations,21,Contract Manager,6,Procurement,Construction Management,NA
West Yorkshire,1,Operations,21,Contract Manager,7,Subcontracting,General Contractor Relations,NA
West Yorkshire,1,Operations,21,Contract Manager,8,Commercial Management,Subcontracting,NA
West Yorkshire,1,Operations,21,Contract Manager,9,Value Engineering,Commercial Management,NA
West Yorkshire,1,Operations,21,Contract Manager,10,Cost Management,Negotiation,NA
West Yorkshire,1,Operations,22,Warehouse Manager,1,Warehouse Operations,Warehouse Operations,NA
West Yorkshire,1,Operations,22,Warehouse Manager,2,Warehouse Management Systems,Warehouse Management Systems,NA
West Yorkshire,1,Operations,22,Warehouse Manager,3,Logistics Management,Logistics Management,NA
West Yorkshire,1,Operations,22,Warehouse Manager,4,Supply Chain Management,Warehouse Control,NA
West Yorkshire,1,Operations,22,Warehouse Manager,5,Inventory Management,Operations Management,NA
West Yorkshire,1,Operations,22,Warehouse Manager,6,Forklift Operation,Supply Chain Management,NA
West Yorkshire,1,Operations,22,Warehouse Manager,7,Operations Management,Inventory Management,NA
West Yorkshire,1,Operations,22,Warehouse Manager,8,Inventory Control,Forklift Operation,NA
West Yorkshire,1,Operations,22,Warehouse Manager,9,Warehouse Control,Inventory Control,NA
West Yorkshire,1,Operations,22,Warehouse Manager,10,Warehouse Management,Stock Control,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,1,Hospitality Management,Hospitality Management,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,2,Restaurant Management,Food & Beverage,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,3,Food & Beverage,Restaurant Management,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,4,Catering,Hospitality,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,5,Hotel Management,Hotel Management,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,6,Menu Development,Event Management,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,7,MICROS,Training,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,8,Pre-opening,Customer Service,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,9,Fine Dining,Communication,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,10,Hospitality,Management,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,1,Maintenance Engineering,Maintenance Engineering,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,2,Preventive Maintenance,Preventive Maintenance,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,3,Mechanical Engineering,Mechanical Engineering,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,4,Maintenance & Repair,Engineering,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,5,Maintenance,Maintenance,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,6,Engineering,Maintenance & Repair,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,7,Fault Finding,Electrical Engineering,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,8,Electrical Engineering,Equipment Maintenance,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,9,Pneumatics,Pneumatics,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,10,Planned Preventative Maintenance,Fault Finding,NA
West Yorkshire,1,Operations,25,Transportation Manager,1,Transportation Management,Transportation Management,NA
West Yorkshire,1,Operations,25,Transportation Manager,2,Transportation,Transportation,NA
West Yorkshire,1,Operations,25,Transportation Manager,3,Logistics Management,Logistics Management,NA
West Yorkshire,1,Operations,25,Transportation Manager,4,Fleet Management,Operations Management,NA
West Yorkshire,1,Operations,25,Transportation Manager,5,Operations Management,Fleet Management,NA
West Yorkshire,1,Operations,25,Transportation Manager,6,Warehouse Operations,Warehouse Operations,NA
West Yorkshire,1,Operations,25,Transportation Manager,7,Supply Chain Management,Transportation Planning,NA
West Yorkshire,1,Operations,25,Transportation Manager,8,Transportation Planning,Third-Party Logistics (3PL),NA
West Yorkshire,1,Operations,25,Transportation Manager,9,Freight,Supply Chain Management,NA
West Yorkshire,1,Operations,25,Transportation Manager,10,Third-Party Logistics (3PL),Fleet Operations,NA
West Yorkshire,1,Operations,26,Event Coordinator,1,Event Planning,Event Planning,NA
West Yorkshire,1,Operations,26,Event Coordinator,2,Event Management,Event Management,NA
West Yorkshire,1,Operations,26,Event Coordinator,3,Corporate Events,Corporate Events,NA
West Yorkshire,1,Operations,26,Event Coordinator,4,Social Media,Social Media,NA
West Yorkshire,1,Operations,26,Event Coordinator,5,Social Media Marketing,Marketing,NA
West Yorkshire,1,Operations,26,Event Coordinator,6,Live Events,Communication,NA
West Yorkshire,1,Operations,26,Event Coordinator,7,Marketing,Time Management,NA
West Yorkshire,1,Operations,26,Event Coordinator,8,Hospitality,Social Media Marketing,NA
West Yorkshire,1,Operations,26,Event Coordinator,9,Time Management,Teamwork,NA
West Yorkshire,1,Operations,26,Event Coordinator,10,Event Production,Customer Service,NA
West Yorkshire,1,Operations,27,Hotel Manager,1,Hotel Management,Hotel Management,NA
West Yorkshire,1,Operations,27,Hotel Manager,2,Hospitality Management,Hospitality Management,NA
West Yorkshire,1,Operations,27,Hotel Manager,3,Front Office,Revenue Analysis,NA
West Yorkshire,1,Operations,27,Hotel Manager,4,Hospitality,Hospitality,NA
West Yorkshire,1,Operations,27,Hotel Manager,5,Reservations,Food & Beverage,NA
West Yorkshire,1,Operations,27,Hotel Manager,6,Food & Beverage,Event Management,NA
West Yorkshire,1,Operations,27,Hotel Manager,7,Tourism,Communication,NA
West Yorkshire,1,Operations,27,Hotel Manager,8,Revenue Analysis,Customer Service,NA
West Yorkshire,1,Operations,27,Hotel Manager,9,Pre-opening,Team Leadership,NA
West Yorkshire,1,Operations,27,Hotel Manager,10,Rooms Division,Leadership,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,1,Supply Chain Management,Supply Chain Management,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,2,Logistics Management,Warehouse Operations,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,3,Warehouse Operations,Operations Management,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,4,Supply Chain Optimization,Logistics Management,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,5,Operations Management,Change Management,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,6,Supply Chain Operations,Management,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,7,Third-Party Logistics (3PL),Negotiation,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,8,Procurement,Strategic Planning,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,9,Transportation,Team Leadership,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,10,Inventory Management,Leadership,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,1,Customer Satisfaction,Customer Support,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,2,Customer Service,Account Management,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,3,Customer Experience,Customer Satisfaction,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,4,Sales,Customer Service,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,5,Account Management,Time Management,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,6,Customer Support,Customer Experience,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,7,Customer Relationship Management (CRM),Sales,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,8,Time Management,Teamwork,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,9,Customer Retention,Team Management,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,10,Teamwork,Problem Solving,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,1,Customer Experience,Customer Experience,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,2,Customer Satisfaction,Customer Satisfaction,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,3,Customer Retention,Sales,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,4,Sales,Customer Service,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,5,Retail,Customer Experience Management,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,6,Customer Service,Communication,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,7,Customer Engagement,Time Management,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,8,Customer Relationship Management (CRM),Teamwork,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,9,Time Management,Customer Relationship Management (CRM),NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,10,Customer Experience Management,Retail,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,1,Customer Service,Customer Service,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,2,Customer Experience,Teamwork,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,3,Customer Satisfaction,Customer Experience,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,4,Time Management,Time Management,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,5,Teamwork,Communication,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,6,Retail,Microsoft Word,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,7,Customer-focused Service,Customer Satisfaction,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,8,Communication,Problem Solving,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,9,Customer Service Representatives,Customer Support,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,10,Sales,Microsoft Office,NA
